Stock,Market Cap and Buy Analysis,Buy Analysis,Volume Analysis Result,Volume Analysis 5 Days,Volume Analysis 20 Days,Volume Analysis 50 Days,MA Analysis,MA5,MA5 Symbol,MA10,MA10 Symbol,MA20,MA20 Symbol,MA50,MA50 Symbol,MA100,MA100 Symbol,MA200,MA200 Symbol,3D Change%,5D Change%,20D Change%,Yesterday Closing Price,Current Price,Volatility in 3 Day,Volatility in 5 Days,Volatility in 20 Days,Market Cap Value,Volume Average in 5 Days,Volume Average in 20 Days,Volume Average in 50 Days,Volume Average in 100 Days
ABBA.JK,161371488256.0,6,0.0,0.0,0.0,0.0,"['>', '>', '>', '>', '>', '>']",38.8,>,35.5,>,32.45,>,28.94,>,27.26,>,40.255,>,7.894736842105263,5.128205128205128,46.42857142857143,38.0,41.0,1.4142135623730951,1.16619037896906,4.283398183685472,161371488256.0,3694880.0,1924300.0,1124224.0,1039113.0
ABDA.JK,2514268192768.0,-5,0.0,0.0,0.0,0.0,"['=', '<', '<', '<', '<', '<']",4050.0,=,4230.0,<,4365.0,<,4576.0,<,4788.0,<,5139.0,<,0.0,0.0,-10.0,4050.0,4050.0,0.0,0.0,206.2159062730128,2514268192768.0,60.0,80.0,50.0,26.0
ABMM.JK,11866162069504.0,2,0.0,5.0,0.0,0.0,"['>', '<', '<', '>', '>', '>']",4242.0,>,4338.0,<,4315.0,<,3994.6,>,3826.9,>,3678.0,>,2.132701421800948,3.110047846889952,12.239583333333332,4220.0,4310.0,42.42640687119285,46.647615158762406,312.43399302892766,11866162069504.0,4763120.0,14083685.0,7280670.0,4889067.0
ACES.JK,13781921955840.0,2,0.0,0.0,0.0,0.0,"['>', '>', '>', '>', '<', '<']",778.0,>,771.5,>,747.75,>,764.0,>,811.8,<,810.35,<,5.921052631578947,4.545454545454546,10.273972602739725,785.0,805.0,18.408935028645434,15.684387141358123,28.261059781968545,13781921955840.0,55017060.0,65119975.0,53543738.0,47513265.0
ACRO.JK,284470280192.0,4,0.0,0.0,0.0,0.0,"['>', '>', '>', '>', '<', '>']",81.0,>,79.6,>,79.2,>,79.1,>,82.68,<,72.31,>,-2.380952380952381,3.79746835443038,2.5,81.0,82.0,1.247219128924647,1.8973665961010275,1.6,284470280192.0,22928240.0,7256445.0,4233708.0,6691500.0
ACST.JK,1559049535488.0,4,0.0,1.0,0.0,0.0,"['>', '>', '>', '>', '>', '<']",120.6,>,121.3,>,122.8,>,114.88,>,110.89,>,125.59,<,3.361344537815126,2.5,-0.8064516129032258,121.0,123.0,1.632993161855452,1.3564659966250536,2.5806975801127883,1559049535488.0,2937120.0,10295560.0,11712656.0,10723343.0
ADCP.JK,1133332267008.0,6,0.0,0.0,0.0,0.0,"['>', '>', '>', '>', '>', '>']",50.6,>,50.7,>,50.55,>,50.28,>,50.14,>,50.565,>,2.0,2.0,2.0,51.0,51.0,0.4714045207910317,0.4898979485566356,0.49749371855331,1133332267008.0,5590880.0,11910170.0,9195368.0,4724262.0
ADES.JK,5825232896000.0,-4,0.0,0.0,0.0,0.0,"['<', '<', '<', '<', '<', '>']",9930.0,<,9937.5,<,9908.75,<,9949.0,<,9961.75,<,9785.0,>,-1.25,-0.25252525252525254,0.7653061224489796,9900.0,9875.0,54.00617248673217,48.47679857416329,62.88630614052634,5825232896000.0,121220.0,40630.0,35300.0,37984.0
ADHI.JK,2404576395264.0,2,0.0,0.0,0.0,0.0,"['>', '<', '<', '>', '>', '>']",284.0,>,296.2,<,298.8,<,273.96,>,248.34,>,284.14,>,0.7042253521126761,1.4184397163120568,-2.054794520547945,286.0,286.0,0.9428090415820634,1.7888543819998317,11.08873302050329,2404576395264.0,59176920.0,71473025.0,72715446.0,53062842.0
ADMF.JK,11275000086528.0,-2,0.0,0.0,0.0,0.0,"['>', '>', '<', '<', '<', '<']",11260.0,>,11217.5,>,11297.5,<,11495.0,<,11795.75,<,11822.625,<,-0.44150110375275936,1.1210762331838564,-2.1691973969631237,11325.0,11275.0,23.570226039551585,66.332495807108,113.99013115177998,11275000086528.0,86400.0,78065.0,75472.0,79103.0
ADMG.JK,505593397248.0,3,0.0,0.0,0.0,0.0,"['=', '>', '<', '>', '>', '>']",130.0,=,129.4,>,130.45,<,118.82,>,117.27,>,127.38,>,0.0,0.0,1.5625,129.0,130.0,0.4714045207910317,0.6324555320336759,2.4181604578687494,505593397248.0,121180.0,345575.0,304418.0,285273.0
ADMR.JK,54169046089728.0,2,0.0,3.0,0.0,0.0,"['>', '>', '>', '>', '<', '<']",1304.0,>,1291.5,>,1287.75,>,1308.9,>,1331.35,<,1345.825,<,1.9230769230769231,4.330708661417323,3.515625,1335.0,1325.0,14.719601443879744,23.53720459187964,17.5695048308141,54169046089728.0,35697400.0,31879500.0,29511706.0,25472260.0
ADRO.JK,112269253935104.0,4,0.0,0.0,1.0,0.0,"['<', '>', '>', '>', '>', '>']",3690.0,<,3601.0,>,3546.5,>,3297.8,>,3047.1,>,2790.7,>,-0.544959128065395,3.6931818181818183,11.96319018404908,3760.0,3650.0,47.842333648024415,110.81516141756055,124.79082498324946,112269253935104.0,212005000.0,107040095.0,71592970.0,53858363.0
AEGS.JK,35212800000.0,-2,1.0,1.0,0.0,1.0,"['<', '<', '<', '>', '>', '<']",35.6,<,36.2,<,37.25,<,32.42,>,34.37,>,58.47,<,-2.7777777777777777,-2.7777777777777777,-16.666666666666664,35.0,35.0,0.4714045207910317,0.4898979485566356,1.9716744153130354,35212800000.0,1235520.0,2346140.0,1349824.0,9178269.0
AGAR.JK,359999995904.0,-2,0.0,0.0,0.0,0.0,"['<', '<', '<', '<', '>', '>']",370.0,<,381.2,<,397.5,<,382.08,<,301.26,>,202.37,>,-2.7027027027027026,-6.25,-19.642857142857142,366.0,360.0,4.109609335312651,7.899367063252599,26.88401011754013,359999995904.0,89640.0,193590.0,366614.0,224124.0
AGII.JK,5397321613312.0,2,0.0,0.0,0.0,0.0,"['>', '<', '<', '>', '>', '>']",1751.0,>,1776.5,<,1787.25,<,1744.8,>,1757.7,>,1650.55,>,0.0,0.8595988538681949,3.8348082595870205,1740.0,1760.0,9.428090415820632,8.0,55.64339583454626,5397321613312.0,61900.0,95920.0,52840.0,151278.0
AGRO.JK,7125263712256.0,6,0.0,0.0,0.0,0.0,"['>', '>', '>', '>', '>', '>']",276.4,>,271.8,>,270.9,>,252.8,>,247.04,>,268.69,>,5.88235294117647,7.462686567164178,11.627906976744185,280.0,288.0,6.531972647421808,6.974238309665077,8.705745229444748,7125263712256.0,53210940.0,56863375.0,34299312.0,25292353.0
AGRS.JK,3505165172736.0,2,0.0,1.0,0.0,0.0,"['>', '<', '<', '>', '>', '>']",73.6,>,74.4,<,75.35,<,73.22,>,66.29,>,71.925,>,2.7777777777777777,0.0,0.0,74.0,74.0,0.9428090415820634,0.8,1.6515144564913744,3505165172736.0,1970600.0,5730000.0,7541612.0,6166907.0
AHAP.JK,578199945216.0,0,0.0,5.0,0.0,0.0,"['<', '<', '<', '>', '>', '>']",118.2,<,119.3,<,119.1,<,112.18,>,104.51,>,104.37,>,0.8547008547008548,-1.6666666666666667,-1.6666666666666667,117.0,118.0,0.4714045207910317,1.16619037896906,3.753664875824692,578199945216.0,8494840.0,29837930.0,25936980.0,19482841.0
AIMS.JK,107800002560.0,-2,0.0,0.0,0.0,0.0,"['<', '<', '<', '>', '>', '<']",490.4,<,496.5,<,498.0,<,464.04,>,440.51,>,558.28,<,0.4098360655737705,-0.8097165991902834,-2.9702970297029703,488.0,490.0,0.9428090415820634,2.33238075793812,6.708203932499369,107800002560.0,1185520.0,1696610.0,1082524.0,826888.0
AISA.JK,487132168192.0,-2,0.0,1.0,0.0,0.0,"['<', '<', '<', '>', '>', '<']",128.2,<,128.8,<,129.5,<,123.22,>,120.19,>,128.295,<,0.7874015748031495,-0.7751937984496124,-0.7751937984496124,129.0,128.0,0.816496580927726,0.7483314773547882,1.396424004376894,487132168192.0,4868660.0,4805580.0,6062292.0,5403644.0
