Stock,Market Cap and Buy Analysis,Buy Analysis,Volume Analysis Result,Volume Analysis 5 Days,Volume Analysis 20 Days,Volume Analysis 50 Days,MA Analysis,MA5,MA5 Symbol,MA10,MA10 Symbol,MA20,MA20 Symbol,MA50,MA50 Symbol,MA100,MA100 Symbol,MA200,MA200 Symbol,3D Change%,5D Change%,20D Change%,Yesterday Closing Price,Current Price,Volatility in 3 Day,Volatility in 5 Days,Volatility in 20 Days,Market Cap Value,Volume Average in 5 Days,Volume Average in 20 Days,Volume Average in 50 Days,Volume Average in 100 Days
ABBA.JK,149563817984.0,4,0.0,0.0,0.0,0.0,"['>', '>', '>', '>', '>', '<']",37.8,>,34.5,>,31.8,>,28.58,>,27.12,>,40.405,<,0.0,5.555555555555555,35.714285714285715,38.0,38.0,0.0,0.9797958971132712,3.906404996924922,149563817984.0,4423840.0,1881475.0,1130174.0,1032979.0
ABDA.JK,2514268192768.0,-5,0.0,0.0,0.0,0.0,"['=', '<', '<', '<', '<', '<']",4050.0,=,4275.0,<,4387.5,<,4595.0,<,4797.5,<,5148.75,<,0.0,0.0,-10.0,4050.0,4050.0,0.0,0.0,194.8557158514987,2514268192768.0,260.0,75.0,50.0,25.0
ABMM.JK,11618377269248.0,0,0.0,4.0,0.0,0.0,"['<', '<', '<', '>', '>', '>']",4232.0,<,4369.0,<,4292.5,<,3982.2,>,3823.8,>,3673.75,>,-1.4018691588785046,-0.9389671361502347,9.32642487046632,4220.0,4220.0,28.284271247461902,34.87119154832539,327.8090145191251,11618377269248.0,5280320.0,14017570.0,7190360.0,4871812.0
ACES.JK,13439514705920.0,2,0.0,4.0,0.0,0.0,"['>', '>', '>', '>', '<', '<']",773.0,>,763.0,>,744.25,>,764.7,>,812.95,<,810.35,<,1.948051948051948,0.641025641025641,6.802721088435375,760.0,785.0,10.274023338281628,8.717797887081348,25.113492389550284,13439514705920.0,56657800.0,62896165.0,51835372.0,46747326.0
ACRO.JK,281001132032.0,4,0.0,0.0,0.0,0.0,"['>', '>', '>', '>', '<', '>']",80.2,>,79.1,>,79.05,>,79.16,>,82.78,<,71.9,>,2.5316455696202533,3.8461538461538463,2.5316455696202533,84.0,81.0,2.0548046676563256,2.1354156504062622,1.4654350889752845,281001132032.0,22600380.0,7096385.0,4196724.0,6752544.0
ACST.JK,1533699162112.0,0,0.0,0.0,0.0,0.0,"['>', '<', '<', '>', '>', '<']",120.4,>,121.5,<,122.8,<,114.6,>,110.87,>,125.825,<,0.8333333333333334,-0.819672131147541,-1.6260162601626018,119.0,121.0,0.816496580927726,1.019803902718557,2.5806975801127883,1533699162112.0,3630220.0,10755565.0,12493092.0,10756846.0
ADCP.JK,1133332267008.0,6,0.0,0.0,0.0,0.0,"['>', '>', '>', '>', '>', '>']",50.4,>,50.7,>,50.5,>,50.26,>,50.13,>,50.58,>,0.0,2.0,2.0,50.0,51.0,0.4714045207910317,0.4898979485566356,0.5,1133332267008.0,6247420.0,11932170.0,9171010.0,4709282.0
ADES.JK,5839980593152.0,-4,0.0,0.0,0.0,0.0,"['<', '<', '<', '<', '<', '>']",9935.0,<,9947.5,<,9905.0,<,9951.5,<,9954.25,<,9786.0,>,-0.7518796992481203,0.0,1.0204081632653061,10000.0,9900.0,42.49182927993987,43.58898943540674,66.89544080129826,5839980593152.0,52160.0,23300.0,30198.0,34575.0
ADHI.JK,2404576395264.0,0,0.0,0.0,0.0,0.0,"['<', '<', '<', '>', '>', '>']",288.4,<,298.6,<,299.3,<,273.44,>,248.1,>,284.71,>,1.4184397163120568,-7.142857142857142,-3.3783783783783785,284.0,286.0,1.632993161855452,9.911609354691093,10.719608201795436,2404576395264.0,67032640.0,73738610.0,77202690.0,53048384.0
ADMF.JK,11325000384512.0,0,0.0,1.0,0.0,0.0,"['>', '>', '>', '<', '<', '<']",11235.0,>,11217.5,>,11311.25,>,11509.5,<,11804.0,<,11819.375,<,0.8908685968819599,1.5695067264573992,-1.948051948051948,11325.0,11325.0,47.14045207910317,78.4219357067906,126.36133704579103,11325000384512.0,83280.0,79940.0,75344.0,80397.0
