Stock,Market Cap and Buy Analysis,Buy Analysis,Volume Analysis Result,Volume Analysis 5 Days,Volume Analysis 20 Days,Volume Analysis 50 Days,MA Analysis,MA5,MA5 Symbol,MA10,MA10 Symbol,MA20,MA20 Symbol,MA50,MA50 Symbol,MA100,MA100 Symbol,MA200,MA200 Symbol,3D Change%,5D Change%,20D Change%,Yesterday Closing Price,Current Price,Volatility in 3 Day,Volatility in 5 Days,Volatility in 20 Days,Market Cap Value,Volume Average in 5 Days,Volume Average in 20 Days,Volume Average in 50 Days,Volume Average in 100 Days
ABBA.JK,114140807168.0,-2,0.0,1.0,0.0,0.0,"['>', '<', '>', '<', '<', '<']",28.8,>,29.4,<,28.65,>,30.84,<,31.38,<,32.15,<,0.0,3.571428571428571,0.0,28.0,29.0,0.4714045207910317,0.7483314773547883,1.2359207094308275,114140807168.0,1213440.0,623650.0,1278532.0,1256196.0
ABDA.JK,2359066624000.0,-5,0.0,0.0,1.0,0.0,"['=', '<', '<', '<', '<', '<']",3800.0,=,3930.0,<,3995.0,<,4034.0,<,4191.7,<,4608.35,<,0.0,0.0,-6.403940886699508,3800.0,3800.0,0.0,0.0,112.58330249197702,2359066624000.0,440.0,110.0,44.0,49.0
ABMM.JK,9525967978496.0,-6,0.0,2.0,0.0,0.0,"['<', '<', '<', '<', '<', '<']",3508.0,<,3524.0,<,3533.5,<,3733.8,<,3930.4,<,3813.6,<,-1.4245014245014245,-2.8089887640449436,-3.6211699164345403,3490.0,3460.0,20.548046676563256,33.1058907144937,38.636122993903,9525967978496.0,1104140.0,999895.0,2602438.0,5464151.0
ACES.JK,13696320405504.0,-2,0.0,4.0,3.0,0.0,"['<', '>', '>', '<', '<', '<']",815.0,<,795.0,>,790.5,>,844.9,<,813.9,<,834.75,<,-2.4390243902439024,-2.4390243902439024,-1.8404907975460123,810.0,800.0,8.16496580927726,8.94427190999916,23.070543990118654,13696320405504.0,31661780.0,27053120.0,29955790.0,44407656.0
ACRO.JK,249779519488.0,0,0.0,0.0,0.0,0.0,"['>', '>', '>', '<', '<', '<']",71.2,>,71.6,>,71.7,>,73.96,<,76.22,<,84.01,<,1.4084507042253522,-1.36986301369863,1.4084507042253522,70.0,72.0,0.816496580927726,1.16619037896906,1.2288205727444508,249779519488.0,1906940.0,1400580.0,1631152.0,2909203.0
ACST.JK,1153443168256.0,-6,0.0,0.0,0.0,0.0,"['<', '<', '<', '<', '<', '<']",92.6,<,94.9,<,98.45,<,103.38,<,110.29,<,114.135,<,-1.0869565217391304,-3.1914893617021276,-13.333333333333334,91.0,91.0,0.4714045207910317,1.624807680927192,4.398579316097415,1153443168256.0,1748920.0,2899490.0,3318834.0,7457155.0
ADCP.JK,1111110057984.0,-3,0.0,1.0,0.0,0.0,"['=', '=', '=', '<', '<', '<']",50.0,=,50.0,=,50.0,=,50.08,<,50.21,<,50.135,<,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,1111110057984.0,91840.0,112455.0,2205436.0,5934646.0
ADES.JK,5368062672896.0,-6,0.0,0.0,0.0,0.0,"['<', '<', '<', '<', '<', '<']",9335.0,<,9405.0,<,9538.75,<,10295.0,<,10143.75,<,10051.0,<,-2.6737967914438503,-3.7037037037037033,-8.542713567839195,9325.0,9100.0,112.42281302693368,128.06248474865697,206.0756839124888,5368062672896.0,93760.0,67150.0,72432.0,58630.0
ADHI.JK,2034641534976.0,-6,0.0,0.0,0.0,0.0,"['<', '<', '<', '<', '<', '<']",253.2,<,255.0,<,256.9,<,273.12,<,277.26,<,264.98,<,-4.724409448818897,-7.633587786259542,-6.923076923076923,250.0,242.0,4.988876515698588,6.881860213634101,6.244197306299665,2034641534976.0,6335260.0,8284245.0,18822038.0,43004432.0
ADMF.JK,9999999827968.0,-6,0.0,5.0,0.0,0.0,"['<', '<', '<', '<', '<', '<']",10070.0,<,10115.0,<,10156.25,<,10576.5,<,10952.75,<,11739.125,<,-0.4975124378109453,-1.71990171990172,-4.98812351543943,10025.0,10000.0,20.412414523193153,62.048368229954285,126.46022101831073,9999999827968.0,80520.0,89005.0,78662.0,76329.0
