Stock,Market Cap and Buy Analysis,Buy Analysis,Volume Analysis Result,Volume Analysis 5 Days,Volume Analysis 20 Days,Volume Analysis 50 Days,MA Analysis,MA5,MA5 Symbol,MA10,MA10 Symbol,MA20,MA20 Symbol,MA50,MA50 Symbol,MA100,MA100 Symbol,MA200,MA200 Symbol,3D Change%,5D Change%,20D Change%,Yesterday Closing Price,Current Price,Volatility in 3 Day,Volatility in 5 Days,Volatility in 20 Days,Market Cap Value,Volume Average in 5 Days,Volume Average in 20 Days,Volume Average in 50 Days,Volume Average in 100 Days
ABBA.JK,110204919808.0,-6,0.0,0.0,0.0,0.0,"['<', '<', '<', '<', '<', '<']",28.4,<,28.4,<,29.6,<,34.04,<,30.66,<,34.22,<,3.7037037037037033,-3.4482758620689653,-22.22222222222222,29.0,28.0,0.816496580927726,0.8,2.2891046284519194,110204919808.0,284360.0,1189470.0,1675624.0,1271576.0
ABDA.JK,2520476286976.0,-1,0.0,0.0,0.0,0.0,"['=', '=', '=', '>', '<', '<']",4060.0,=,4060.0,=,4060.0,=,4057.8,>,4373.9,<,4747.45,<,0.0,0.0,0.0,4060.0,4060.0,0.0,0.0,0.0,2520476286976.0,0.0,0.0,32.0,28.0
ABMM.JK,9801285238784.0,-6,0.0,0.0,0.0,0.0,"['<', '<', '<', '<', '<', '<']",3574.0,<,3580.0,<,3699.5,<,3997.0,<,3967.5,<,3805.0,<,0.84985835694051,-1.1111111111111112,-12.31527093596059,3590.0,3560.0,24.49489742783178,25.768197453450252,204.63320844867775,9801285238784.0,954740.0,3740530.0,4314348.0,5629906.0
ACES.JK,14209931804672.0,0,0.0,4.0,2.0,0.0,"['>', '>', '<', '<', '>', '<']",819.0,>,826.0,>,864.25,<,868.9,<,819.4,>,838.05,<,0.6060606060606061,0.6060606060606061,-8.791208791208792,815.0,830.0,6.236095644623236,10.677078252031311,40.965686861079234,14209931804672.0,24774480.0,29215650.0,39792278.0,45355602.0
ACRO.JK,249779519488.0,-4,0.0,3.0,0.0,0.0,"['>', '<', '<', '<', '<', '<']",71.8,>,72.3,<,73.95,<,76.72,<,78.09,<,86.415,<,0.0,0.0,-7.6923076923076925,71.0,72.0,0.4714045207910317,0.4,2.2466641938660974,249779519488.0,1088100.0,1216465.0,4019698.0,3140760.0
ACST.JK,1318220857344.0,-2,0.0,0.0,0.0,0.0,"['>', '>', '<', '<', '<', '<']",102.4,>,101.9,>,104.3,<,110.66,<,111.99,<,117.135,<,4.0,2.9702970297029703,-6.306306306306306,105.0,104.0,2.160246899469287,1.8547236990991407,3.4942810419312296,1318220857344.0,3237700.0,2935955.0,3915436.0,8860486.0
ADCP.JK,1111110057984.0,-3,0.0,0.0,0.0,0.0,"['=', '=', '=', '<', '<', '<']",50.0,=,50.0,=,50.0,=,50.2,<,50.21,<,50.155,<,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,1111110057984.0,271420.0,2207485.0,3243246.0,5970520.0
ADES.JK,5722001113088.0,-6,0.0,0.0,0.0,0.0,"['<', '<', '<', '<', '<', '<']",9890.0,<,10075.0,<,10603.75,<,10524.5,<,10248.0,<,10030.875,<,-1.2722646310432568,-3.0,-13.19910514541387,9950.0,9700.0,102.06207261596575,112.47221879201993,593.4156953603435,5722001113088.0,72220.0,72725.0,83202.0,56357.0
ADHI.JK,2219608899584.0,-4,0.0,0.0,0.0,0.0,"['>', '<', '<', '<', '<', '<']",259.2,>,266.2,<,275.3,<,281.96,<,275.78,<,268.46,<,4.761904761904762,0.0,-8.96551724137931,260.0,264.0,4.988876515698588,4.66476151587624,11.424097338520886,2219608899584.0,15997740.0,20121290.0,27878206.0,54650036.0
ADMF.JK,10425000263680.0,-4,0.0,0.0,0.0,0.0,"['>', '<', '<', '<', '<', '<']",10410.0,>,10465.0,<,10685.0,<,11000.5,<,11283.75,<,11856.375,<,0.0,0.9685230024213075,-5.656108597285068,10525.0,10425.0,47.14045207910317,70.0,249.42433722473837,10425000263680.0,55300.0,70975.0,65770.0,67437.0
