Stock,Market Cap and Buy Analysis,Buy Analysis,Volume Analysis Result,Volume Analysis 5 Days,Volume Analysis 20 Days,Volume Analysis 50 Days,MA Analysis,MA5,MA5 Symbol,MA10,MA10 Symbol,MA20,MA20 Symbol,MA50,MA50 Symbol,MA100,MA100 Symbol,MA200,MA200 Symbol,3D Change%,5D Change%,20D Change%,Yesterday Closing Price,Current Price,Volatility in 3 Day,Volatility in 5 Days,Volatility in 20 Days,Market Cap Value,Volume Average in 5 Days,Volume Average in 20 Days,Volume Average in 50 Days,Volume Average in 100 Days
ABBA.JK,118076694528.0,0,0.0,1.0,0.0,0.0,"['>', '>', '>', '<', '<', '<']",29.2,>,29.1,>,28.6,>,31.16,<,31.38,<,32.51,<,7.142857142857142,0.0,3.4482758620689653,28.0,30.0,0.9428090415820634,0.9797958971132712,1.2806248474865698,118076694528.0,609480.0,476320.0,1275662.0,1240141.0
ABDA.JK,2359066624000.0,-6,0.0,0.0,0.0,0.0,"['<', '<', '<', '<', '<', '<']",3956.0,<,4008.0,<,4034.0,<,4049.6,<,4227.7,<,4633.85,<,-6.403940886699508,-6.403940886699508,-6.403940886699508,3800.0,3800.0,122.56517540566823,127.37346662472527,78.0,2359066624000.0,420.0,105.0,42.0,48.0
ABMM.JK,9691158544384.0,-6,0.0,4.0,1.0,0.0,"['<', '<', '<', '<', '<', '<']",3540.0,<,3524.0,<,3546.5,<,3771.4,<,3939.7,<,3813.05,<,-1.1235955056179776,0.0,-2.2222222222222223,3560.0,3520.0,18.856180831641264,17.88854381999832,36.23189202898463,9691158544384.0,1080980.0,1030100.0,2842942.0,5500259.0
ACES.JK,14124330254336.0,2,1.0,1.0,0.0,1.0,"['>', '>', '>', '<', '>', '<']",797.0,>,780.5,>,791.5,>,848.6,<,814.1,>,834.9,<,3.125,7.142857142857142,0.0,820.0,825.0,10.801234497346433,23.57965224510319,24.243555844801314,14124330254336.0,30972220.0,26265030.0,29742486.0,44072578.0
ACRO.JK,242841190400.0,-6,0.0,0.0,0.0,0.0,"['<', '<', '<', '<', '<', '<']",71.8,<,71.7,<,71.85,<,74.32,<,76.45,<,84.31,<,-2.7777777777777777,-2.7777777777777777,-2.7777777777777777,73.0,70.0,1.247219128924647,0.9797958971132712,1.1521718621802912,242841190400.0,691000.0,1211760.0,1573414.0,2897676.0
ACST.JK,1204144046080.0,-6,0.0,0.0,0.0,0.0,"['<', '<', '<', '<', '<', '<']",95.2,<,97.3,<,99.9,<,104.7,<,110.83,<,114.775,<,2.1505376344086025,-2.0618556701030926,-5.9405940594059405,94.0,95.0,0.816496580927726,1.5999999999999999,3.269556544854363,1204144046080.0,5261620.0,2982390.0,3521880.0,7510091.0
ADCP.JK,1111110057984.0,-3,0.0,3.0,2.0,0.0,"['=', '=', '=', '<', '<', '<']",50.0,=,50.0,=,50.0,=,50.08,<,50.21,<,50.155,<,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,1111110057984.0,151440.0,156180.0,2217854.0,5939520.0
ADES.JK,5574526763008.0,-6,0.0,0.0,0.0,0.0,"['<', '<', '<', '<', '<', '<']",9460.0,<,9470.0,<,9640.0,<,10367.0,<,10172.5,<,10050.375,<,0.2652519893899204,-0.2638522427440633,-5.5,9450.0,9450.0,11.785113019775793,25.495097567963924,206.82117879946435,5574526763008.0,65080.0,59915.0,79008.0,56159.0
ADHI.JK,2169163350016.0,-4,0.0,1.0,0.0,0.0,"['<', '>', '<', '<', '<', '<']",258.4,<,255.8,>,258.2,<,274.92,<,277.06,<,265.89,<,-1.5267175572519083,3.2,-2.272727272727273,262.0,258.0,1.8856180831641267,4.454211490264018,5.211525688318153,2169163350016.0,7420960.0,9418480.0,19194508.0,43485173.0
ADMF.JK,10100000423936.0,-6,0.0,2.0,0.0,0.0,"['<', '<', '<', '<', '<', '<']",10135.0,<,10155.0,<,10207.5,<,10648.0,<,11013.5,<,11768.5,<,0.0,0.0,-2.1791767554479415,10175.0,10100.0,35.35533905932738,43.58898943540674,132.782717248895,10100000423936.0,88520.0,81640.0,75630.0,74153.0
ADMG.JK,447255674880.0,-6,0.0,3.0,0.0,0.0,"['<', '<', '<', '<', '<', '<']",116.0,<,116.8,<,118.85,<,124.34,<,123.94,<,122.95,<,-1.7094017094017095,-1.7094017094017095,-7.258064516129033,116.0,115.0,0.816496580927726,0.8944271909999159,2.8332843133014376,447255674880.0,280000.0,165560.0,220496.0,263630.0
ADMR.JK,51920521658368.0,-6,0.0,2.0,0.0,0.0,"['<', '<', '<', '<', '<', '<']",1310.0,<,1287.0,<,1288.75,<,1370.2,<,1345.9,<,1360.075,<,-3.787878787878788,-3.4220532319391634,-4.511278195488721,1300.0,1270.0,20.548046676563256,24.698178070456937,31.21998558615939,51920521658368.0,18572080.0,17337860.0,20894168.0,30548380.0
ADRO.JK,77819505803264.0,-4,0.0,0.0,0.0,0.0,"['<', '>', '<', '<', '<', '<']",2570.0,<,2430.0,>,3039.0,<,3499.4,<,3479.5,<,3106.3,<,-7.326007326007327,10.0,-33.94255874673629,2610.0,2530.0,82.19218670625301,150.86417732516887,660.1128691367863,77819505803264.0,260620680.0,239252475.0,145113688.0,113721399.0
AEGS.JK,32194560000.0,-6,0.0,1.0,0.0,0.0,"['<', '<', '<', '<', '<', '<']",32.6,<,32.7,<,33.4,<,33.52,<,33.57,<,43.195,<,-3.0303030303030303,-3.0303030303030303,-3.0303030303030303,32.0,32.0,0.4714045207910317,0.4898979485566356,1.4966629547095767,32194560000.0,1034540.0,9586255.0,4450482.0,2861968.0
AGAR.JK,213999992832.0,-6,0.0,0.0,0.0,0.0,"['<', '<', '<', '<', '<', '<']",219.6,<,223.6,<,239.3,<,271.48,<,332.58,<,253.16,<,-1.834862385321101,-3.6036036036036037,-17.692307692307693,218.0,214.0,1.8856180831641267,4.079215610874228,18.95547414337083,213999992832.0,80920.0,438680.0,258036.0,382599.0
AGII.JK,4753322934272.0,-6,0.0,0.0,0.0,0.0,"['<', '<', '<', '<', '<', '<']",1559.0,<,1577.0,<,1623.0,<,1681.8,<,1712.5,<,1701.825,<,-1.5873015873015872,-0.641025641025641,-8.55457227138643,1550.0,1550.0,11.785113019775793,9.16515138991168,51.70589908318006,4753322934272.0,40320.0,27150.0,38338.0,54736.0
AGRO.JK,5838757953536.0,-2,0.0,4.0,0.0,0.0,"['<', '>', '>', '<', '<', '<']",239.6,<,235.8,>,234.8,>,253.24,<,255.86,<,255.13,<,-2.479338842975207,-0.8403361344537815,-1.6666666666666667,240.0,236.0,2.494438257849294,2.33238075793812,5.455272678794342,5838757953536.0,9868960.0,11913085.0,27554800.0,33518981.0
AGRS.JK,3694633680896.0,5,0.0,0.0,0.0,0.0,"['>', '=', '>', '>', '>', '>']",77.8,>,78.0,=,77.4,>,77.9,>,75.28,>,70.65,>,0.0,1.2987012987012987,5.405405405405405,78.0,78.0,0.0,0.4,2.709243436828813,3694633680896.0,4354440.0,11912245.0,27390988.0,16453310.0
AHAP.JK,445899964416.0,-6,0.0,0.0,0.0,0.0,"['<', '<', '<', '<', '<', '<']",91.6,<,92.0,<,93.9,<,99.6,<,107.14,<,107.635,<,-2.1505376344086025,1.1111111111111112,-9.0,92.0,91.0,0.816496580927726,1.019803902718557,2.4879710609249455,445899964416.0,13405920.0,10542280.0,10799866.0,17241239.0
AIMS.JK,94160003072.0,-6,0.0,1.0,0.0,0.0,"['<', '<', '<', '<', '<', '<']",446.8,<,452.2,<,445.4,<,470.48,<,482.38,<,492.955,<,0.0,-10.084033613445378,0.4694835680751174,436.0,428.0,3.7712361663282534,20.22275945562326,20.91028455090939,94160003072.0,4433900.0,4215550.0,4517870.0,2807478.0
AISA.JK,449074954240.0,-6,0.0,2.0,0.0,0.0,"['<', '<', '<', '<', '<', '<']",118.4,<,118.1,<,119.9,<,126.02,<,126.13,<,123.905,<,0.0,-0.8403361344537815,-4.838709677419355,118.0,118.0,0.0,0.4898979485566356,2.1656407827707715,449074954240.0,1965060.0,2883325.0,3773434.0,5414979.0
AKKU.JK,90292445184.0,2,0.0,0.0,0.0,0.0,"['>', '>', '>', '<', '>', '<']",13.8,>,13.6,>,13.7,>,14.42,<,13.57,>,18.88,<,0.0,7.6923076923076925,0.0,14.0,14.0,0.0,0.4,0.5567764362830022,90292445184.0,18900.0,137925.0,195908.0,203147.0
AKPI.JK,367348809728.0,-6,0.0,0.0,0.0,0.0,"['<', '<', '<', '<', '<', '<']",602.0,<,603.5,<,607.25,<,644.3,<,645.25,<,647.5,<,0.8403361344537815,-2.4390243902439024,-4.0,600.0,600.0,2.357022603955158,6.782329983125268,10.059199769365355,367348809728.0,25540.0,20495.0,84938.0,53341.0
AKRA.JK,26349162987520.0,-2,0.0,2.0,1.0,0.0,"['<', '>', '>', '<', '<', '<']",1338.0,<,1295.5,>,1295.75,>,1381.6,<,1435.4,<,1542.775,<,-1.4760147601476015,1.1363636363636365,-1.1111111111111112,1335.0,1335.0,9.428090415820632,11.661903789690601,45.669327781345764,26349162987520.0,12039280.0,12428375.0,21431408.0,25982132.0
AKSI.JK,226079997952.0,-4,0.0,0.0,0.0,0.0,"['<', '<', '<', '<', '<', '>']",326.4,<,350.2,<,374.6,<,465.24,<,330.55,<,228.145,>,-7.647058823529412,-4.2682926829268295,-22.660098522167488,322.0,314.0,10.873004286866726,8.522910301065007,31.95058684907055,226079997952.0,3477340.0,2749700.0,5368624.0,4284241.0
ALDO.JK,1525901033472.0,6,0.0,0.0,0.0,0.0,"['>', '>', '>', '>', '>', '>']",548.0,>,561.5,>,563.75,>,522.52,>,470.56,>,441.045,>,6.60377358490566,0.0,3.669724770642202,540.0,565.0,14.719601443879744,14.352700094407323,19.992185973524755,1525901033472.0,179280.0,378680.0,366086.0,262052.0
ALII.JK,6330319896576.0,-2,0.0,0.0,0.0,0.0,"['<', '<', '<', '<', '>', '>']",405.6,<,405.0,<,406.9,<,406.28,<,382.62,>,395.935,>,-0.9900990099009901,-2.912621359223301,-0.9900990099009901,406.0,400.0,2.494438257849294,3.8781438859330635,4.023679907746142,6330319896576.0,1853040.0,1566380.0,1727316.0,2201195.0
ALKA.JK,189866704896.0,0,0.0,0.0,0.0,0.0,"['<', '>', '<', '<', '>', '>']",377.6,<,369.2,>,374.2,<,387.16,<,369.36,>,371.19,>,-1.0582010582010581,-1.5789473684210527,-3.1088082901554404,378.0,374.0,1.8856180831641267,1.9595917942265424,9.795917517006766,189866704896.0,27220.0,38310.0,41262.0,157785.0
ALMI.JK,282384007168.0,1,0.0,0.0,0.0,0.0,"['=', '=', '=', '>', '>', '<']",74.0,=,74.0,=,74.0,=,72.78,>,70.24,>,79.11,<,0.0,0.0,0.0,74.0,74.0,0.0,0.0,0.0,282384007168.0,0.0,0.0,84762.0,112901.0
ALTO.JK,35069919232.0,-2,0.0,0.0,0.0,0.0,"['=', '=', '>', '<', '<', '<']",16.0,=,16.0,=,15.15,>,16.04,<,16.23,<,19.79,<,0.0,0.0,33.33333333333333,16.0,16.0,0.0,0.0,1.107925990308017,35069919232.0,121580.0,264100.0,215030.0,350453.0
AMAG.JK,1653907783680.0,-2,0.0,0.0,0.0,0.0,"['<', '>', '<', '<', '<', '>']",334.8,<,333.6,>,336.3,<,343.0,<,349.36,<,327.93,>,0.6024096385542169,0.0,-2.3391812865497075,338.0,334.0,2.494438257849294,2.039607805437114,3.9127995093027703,1653907783680.0,67440.0,38175.0,50696.0,106643.0
AMAN.JK,437705474048.0,6,0.0,2.0,0.0,0.0,"['>', '>', '>', '>', '>', '>']",112.0,>,110.2,>,109.95,>,110.96,>,111.54,>,109.205,>,0.0,3.669724770642202,1.8018018018018018,113.0,113.0,0.0,1.5491933384829668,1.6874537030686203,437705474048.0,1743260.0,1543480.0,2041174.0,2281095.0
AMAR.JK,3548698902528.0,0,0.0,0.0,0.0,0.0,"['>', '>', '>', '<', '<', '<']",194.4,>,193.8,>,195.3,>,205.36,<,212.26,<,227.85,<,1.0256410256410255,2.072538860103627,-2.4752475247524752,194.0,197.0,1.247219128924647,1.4966629547095764,3.0512292604784714,3548698902528.0,559620.0,525520.0,477420.0,988264.0
AMFG.JK,2013760061440.0,0,0.0,0.0,0.0,0.0,"['>', '>', '>', '<', '<', '<']",4634.0,>,4621.0,>,4623.5,>,4669.4,<,4684.8,<,4962.425,<,0.4329004329004329,0.0,-0.21505376344086022,4630.0,4640.0,8.16496580927726,8.0,22.422087324778662,2013760061440.0,9940.0,10965.0,17990.0,18232.0
AMIN.JK,154440007680.0,-2,0.0,0.0,0.0,0.0,"['>', '>', '<', '<', '<', '<']",142.6,>,141.6,>,143.95,<,147.06,<,145.7,<,149.08,<,-0.6944444444444444,0.0,-2.054794520547945,143.0,143.0,0.4714045207910317,1.3564659966250536,3.6670833096617805,154440007680.0,52540.0,43905.0,38078.0,82579.0
AMMN.JK,674419252920320.0,-4,0.0,5.0,0.0,0.0,"['<', '<', '<', '>', '<', '<']",9350.0,<,9325.0,<,9355.0,<,9298.5,>,9994.5,<,10005.25,<,-0.8,-2.3622047244094486,-0.53475935828877,9225.0,9300.0,61.237243569579455,100.0,200.24984394500785,674419252920320.0,12073880.0,17435660.0,20511920.0,24071299.0
AMMS.JK,43202162688.0,5,0.0,0.0,0.0,0.0,"['=', '>', '>', '>', '>', '>']",36.0,=,34.6,>,34.2,>,29.54,>,25.42,>,25.235,>,-5.263157894736842,9.090909090909092,20.0,37.0,36.0,0.816496580927726,1.6733200530681511,3.1080540535840107,43202162688.0,14810180.0,10241280.0,5262280.0,3357149.0
AMOR.JK,1514754277376.0,-2,0.0,1.0,0.0,0.0,"['>', '>', '<', '<', '<', '<']",684.0,>,684.5,>,702.25,<,767.6,<,737.75,<,820.375,<,0.0,3.787878787878788,-11.03896103896104,700.0,685.0,7.0710678118654755,13.19090595827292,26.947866334832522,1514754277376.0,39200.0,27180.0,107562.0,95791.0
AMRT.JK,122082029469696.0,-2,0.0,4.0,0.0,0.0,"['<', '<', '>', '<', '<', '>']",2994.0,<,2960.0,<,2937.5,>,3138.2,<,3044.4,<,2926.2,>,-3.606557377049181,-4.234527687296417,-0.3389830508474576,2970.0,2940.0,46.42796092394707,55.35341001239219,59.906176643147575,122082029469696.0,17330980.0,25590945.0,25063880.0,25830433.0
ANDI.JK,65449996288.0,2,0.0,4.0,1.0,0.0,"['>', '>', '>', '>', '<', '<']",6.6,>,6.2,>,6.15,>,6.6,>,7.15,<,14.025,<,0.0,16.666666666666664,16.666666666666664,7.0,7.0,0.0,0.4898979485566356,0.47696960070847283,65449996288.0,4081100.0,2801295.0,2903730.0,6119353.0
ANJT.JK,2465315160064.0,0,0.0,0.0,0.0,0.0,"['<', '<', '<', '>', '>', '>']",738.0,<,736.5,<,736.25,<,730.7,>,717.25,>,706.85,>,0.0,-0.6756756756756757,-1.342281879194631,740.0,735.0,2.357022603955158,2.449489742783178,3.832427429188973,2465315160064.0,1052580.0,942625.0,1054226.0,1261221.0
