Stock,Market Cap and Buy Analysis,Buy Analysis,Volume Analysis Result,Volume Analysis 5 Days,Volume Analysis 20 Days,Volume Analysis 50 Days,MA Analysis,MA5,MA5 Symbol,MA10,MA10 Symbol,MA20,MA20 Symbol,MA50,MA50 Symbol,MA100,MA100 Symbol,MA200,MA200 Symbol,3D Change%,5D Change%,20D Change%,Yesterday Closing Price,Current Price,Volatility in 3 Day,Volatility in 5 Days,Volatility in 20 Days,Market Cap Value,Volume Average in 5 Days,Volume Average in 20 Days,Volume Average in 50 Days,Volume Average in 100 Days
ABBA.JK,133820260352.0,-2,0.0,0.0,0.0,0.0,"['<', '<', '<', '>', '>', '<']",35.8,<,37.3,<,36.95,<,31.74,>,28.21,>,38.45,<,-5.555555555555555,-10.526315789473683,13.333333333333334,35.0,34.0,0.816496580927726,1.3266499161421599,2.9406631905065224,133820260352.0,987800.0,1789250.0,1238104.0,956671.0
ABDA.JK,2520476286976.0,-3,0.0,0.0,0.0,0.0,"['=', '>', '<', '<', '<', '<']",4060.0,=,4055.0,>,4142.5,<,4387.0,<,4693.5,<,5043.75,<,0.0,0.0,-9.777777777777779,4060.0,4060.0,0.0,0.0,178.79807045938722,2520476286976.0,40.0,90.0,54.0,28.0
ABMM.JK,11150338031616.0,-2,0.0,0.0,2.0,0.0,"['<', '<', '<', '<', '>', '>']",4234.0,<,4288.0,<,4300.5,<,4112.4,<,3874.6,>,3726.0,>,-3.341288782816229,-11.18421052631579,-10.0,4110.0,4050.0,57.34883511361751,177.83138080777533,124.87894137924135,11150338031616.0,10113540.0,5983665.0,8234456.0,5275217.0
ACES.JK,14980349952000.0,2,0.0,1.0,0.0,0.0,"['<', '<', '>', '>', '>', '>']",896.0,<,891.5,<,836.0,>,780.8,>,807.2,>,814.0,>,-2.2346368715083798,-4.371584699453552,10.062893081761008,875.0,875.0,9.428090415820634,19.078784028338912,58.557663887829406,14980349952000.0,37119080.0,73116545.0,58771412.0,48748876.0
ACRO.JK,267124539392.0,-4,0.0,5.0,0.0,0.0,"['<', '<', '<', '<', '<', '>']",77.6,<,78.9,<,79.4,<,78.56,<,82.24,<,76.66,>,0.0,-3.75,-1.282051282051282,76.0,77.0,0.4714045207910317,1.3564659966250536,1.8814887722226779,267124539392.0,2016460.0,7531930.0,4194476.0,5002089.0
ACST.JK,1482998415360.0,-2,0.0,1.0,0.0,0.0,"['>', '<', '<', '<', '>', '<']",116.2,>,117.5,<,119.45,<,117.1,<,110.64,>,122.855,<,-0.847457627118644,1.7391304347826086,-5.64516129032258,117.0,117.0,0.4714045207910317,1.4696938456699067,2.5975950415721076,1482998415360.0,3063780.0,4277870.0,11457964.0,11078191.0
ADCP.JK,1111110057984.0,-5,0.0,0.0,0.0,0.0,"['=', '<', '<', '<', '<', '<']",50.0,=,50.2,<,50.45,<,50.34,<,50.17,<,50.375,<,0.0,0.0,-1.9607843137254901,50.0,50.0,0.0,0.0,0.49749371855331,1111110057984.0,461080.0,3484870.0,9658028.0,4911504.0
ADES.JK,5839980593152.0,-4,0.0,0.0,0.0,0.0,"['<', '<', '<', '<', '<', '>']",10040.0,<,10160.0,<,10043.75,<,9975.0,<,10013.75,<,9840.75,>,-1.0,-3.8834951456310676,-0.7518796992481203,9925.0,9900.0,42.49182927993987,143.70107863199914,193.6289944713859,5839980593152.0,80720.0,67000.0,38020.0,39743.0
ADHI.JK,2370945941504.0,4,0.0,0.0,0.0,0.0,"['>', '>', '<', '>', '>', '>']",277.6,>,279.2,>,286.8,<,280.04,>,251.14,>,277.46,>,0.0,1.4388489208633095,-10.191082802547772,276.0,282.0,2.8284271247461903,4.454211490264018,11.668761716651858,2370945941504.0,17674560.0,35198430.0,67343224.0,53963204.0
ADMF.JK,11224999788544.0,-6,0.0,0.0,0.0,0.0,"['<', '<', '<', '<', '<', '<']",11320.0,<,11337.5,<,11278.75,<,11362.0,<,11703.25,<,11860.625,<,-1.5350877192982455,-1.75054704595186,1.3544018058690745,11250.0,11225.0,77.28015412913086,79.68688725254614,93.96641687326382,11224999788544.0,32620.0,56060.0,72672.0,68857.0
ADMG.JK,497815027712.0,4,0.0,0.0,0.0,0.0,"['>', '>', '<', '>', '>', '>']",127.6,>,127.6,>,128.45,<,124.02,>,117.94,>,126.355,>,0.7874015748031495,-1.5384615384615385,0.0,125.0,128.0,1.247219128924647,1.624807680927192,1.3955285736952863,497815027712.0,185360.0,151330.0,307120.0,258557.0
ADMR.JK,62549915598848.0,6,0.0,0.0,0.0,0.0,"['>', '>', '>', '>', '>', '>']",1508.0,>,1431.5,>,1366.0,>,1325.8,>,1339.25,>,1358.475,>,1.6611295681063125,1.3245033112582782,18.6046511627907,1545.0,1530.0,16.49915822768611,32.341923257592455,90.65870063044142,62549915598848.0,83035840.0,57078135.0,40370236.0,32640724.0
ADRO.JK,117805819101184.0,4,0.0,0.0,0.0,0.0,"['<', '>', '>', '>', '>', '>']",3868.0,<,3794.0,>,3702.5,>,3472.8,>,3164.1,>,2859.05,>,-2.295918367346939,-2.0460358056265986,7.887323943661972,3870.0,3830.0,36.81787005729087,43.08131845707603,138.84793840745348,117805819101184.0,80911580.0,117241340.0,82201616.0,60500286.0
AEGS.JK,34206720000.0,-2,0.0,1.0,0.0,0.0,"['<', '<', '<', '>', '>', '<']",34.2,<,34.5,<,35.3,<,33.74,>,32.93,>,57.025,<,0.0,-2.857142857142857,-8.108108108108109,34.0,34.0,0.0,0.4,1.1,34206720000.0,430560.0,1224425.0,1246558.0,6088379.0
AGAR.JK,311999987712.0,-4,0.0,0.0,0.0,0.0,"['<', '<', '<', '<', '<', '>']",316.0,<,322.8,<,349.7,<,395.12,<,326.62,<,213.645,>,-2.5,-3.1055900621118013,-21.608040201005025,312.0,312.0,3.7712361663282534,4.1952353926806065,29.58563840784917,311999987712.0,131460.0,422180.0,508628.0,293445.0
AGII.JK,5335988305920.0,-4,0.0,5.0,0.0,0.0,"['<', '<', '<', '<', '<', '>']",1750.0,<,1747.0,<,1757.5,<,1743.2,<,1751.9,<,1664.975,>,-1.1363636363636365,-0.5714285714285714,-4.395604395604396,1750.0,1740.0,8.16496580927726,6.324555320336759,23.04886114323222,5335988305920.0,25700.0,79575.0,71486.0,118369.0
AGRO.JK,6482011095040.0,-2,0.0,1.0,0.0,0.0,"['<', '<', '<', '>', '>', '<']",265.6,<,268.2,<,271.0,<,258.88,>,248.9,>,268.9,<,-2.9629629629629632,-2.2388059701492535,-2.2388059701492535,260.0,262.0,4.320493798938574,3.8781438859330635,6.618156843109719,6482011095040.0,19816600.0,39137590.0,39547790.0,28509021.0
AGRS.JK,3457798111232.0,2,0.0,0.0,0.0,0.0,"['>', '<', '<', '>', '>', '>']",72.4,>,73.7,<,73.95,<,72.6,>,67.61,>,71.47,>,1.3888888888888888,0.0,-3.9473684210526314,72.0,73.0,0.4714045207910317,0.4898979485566356,1.3592277219068185,3457798111232.0,1961660.0,2202435.0,4803054.0,6288770.0
AHAP.JK,538999980032.0,-2,0.0,0.0,0.0,0.0,"['<', '<', '<', '<', '>', '>']",112.2,<,114.6,<,117.2,<,114.82,<,105.9,>,105.225,>,-2.6548672566371683,-2.6548672566371683,-8.333333333333332,112.0,110.0,1.247219128924647,1.16619037896906,3.5860842154082215,538999980032.0,7785500.0,17317895.0,23744604.0,19559825.0
AIMS.JK,98560000000.0,-4,0.0,0.0,0.0,0.0,"['<', '<', '<', '<', '>', '<']",452.4,<,461.2,<,478.25,<,496.96,<,428.01,>,565.91,<,-1.3215859030837005,-3.0303030303030303,-11.287128712871288,440.0,448.0,5.734883511361751,7.735631842325486,19.732903993077148,98560000000.0,43300.0,695180.0,1097090.0,570191.0
AISA.JK,498549325824.0,3,0.0,0.0,0.0,0.0,"['=', '<', '>', '>', '>', '>']",131.0,=,131.7,<,130.25,>,126.54,>,121.37,>,126.745,>,0.7692307692307693,-0.7575757575757576,1.550387596899225,131.0,131.0,0.4714045207910317,0.6324555320336759,2.0706279240848655,498549325824.0,3607120.0,5516320.0,7066718.0,5797521.0
AKKU.JK,83842981888.0,-2,0.0,0.0,0.0,0.0,"['<', '<', '<', '>', '>', '<']",13.4,<,13.6,<,14.1,<,12.68,>,12.41,>,27.59,<,0.0,-7.142857142857142,-13.333333333333334,13.0,13.0,0.0,0.4898979485566356,0.8306623862918076,83842981888.0,42700.0,116030.0,208352.0,292940.0
AKPI.JK,397961199616.0,-2,0.0,0.0,0.0,0.0,"['<', '<', '<', '>', '>', '<']",661.0,<,664.0,<,670.5,<,646.7,>,629.55,>,667.425,<,-2.9850746268656714,-2.2556390977443606,-2.2556390977443606,650.0,650.0,9.428090415820634,9.16515138991168,9.987492177719089,397961199616.0,7980.0,14045.0,21754.0,18240.0
AKRA.JK,31480835211264.0,6,1.0,1.0,1.0,1.0,"['>', '>', '>', '>', '>', '>']",1565.0,>,1545.5,>,1497.0,>,1491.0,>,1534.55,>,1577.95,>,2.903225806451613,2.903225806451613,11.149825783972126,1580.0,1595.0,18.708286933869708,18.973665961010276,54.98636194548608,31480835211264.0,32608560.0,30063070.0,30794194.0,30011854.0
AKSI.JK,345600000000.0,6,0.0,0.0,0.0,0.0,"['>', '>', '>', '>', '>', '>']",369.2,>,347.4,>,321.7,>,203.26,>,158.29,>,150.55,>,34.831460674157306,62.16216216216216,98.34710743801654,390.0,480.0,52.315283511502535,63.69426975796174,46.96924525686995,345600000000.0,6209100.0,2935215.0,3574564.0,2546423.0
ALDO.JK,1215319506944.0,4,0.0,0.0,0.0,0.0,"['<', '>', '>', '>', '>', '>']",450.4,<,434.6,>,422.2,>,419.0,>,426.13,>,406.3025,>,-3.8461538461538463,4.651162790697675,8.695652173913043,442.0,450.0,10.873004286866726,13.646977687385585,20.048940121612414,1215319506944.0,401900.0,160375.0,158050.0,204101.0
