date,close,volume,relative_volume,ma_alignment,price_vs_sma_50_pct,rsi_14,rsi_overbought,rsi_oversold,atr_14,atr_pct,market_stage,sma_5,sma_10,sma_20,sma_50,sma_100,sma_200,sma_5_diff_pct,sma_10_diff_pct,sma_20_diff_pct,sma_50_diff_pct,sma_100_diff_pct,sma_200_diff_pct
2022-05-20,4430.0,122101000,,0,,,0,0,,,unknown,,,,,,,,,,,,
2022-05-23,4330.0,175709000,,0,,,0,0,,,unknown,,,,,,,,,,,,
2022-05-24,4460.0,165758600,,0,,,0,0,,,unknown,,,,,,,,,,,,
2022-05-25,4350.0,138961700,,0,,,0,0,,,unknown,,,,,,,,,,,,
2022-05-27,4540.0,209962100,,0,,,0,0,,,unknown,4422.0,,,,,,,,,,,
2022-05-30,4430.0,193724500,,0,,,0,0,,,unknown,4422.0,,,,,,0.0,,,,,
2022-05-31,4630.0,379626500,,0,,,0,0,,,unknown,4482.0,,,,,,1.3568521031207537,,,,,
2022-06-02,4480.0,225697500,,0,,,0,0,,,unknown,4486.0,,,,,,0.08924587237839621,,,,,
2022-06-03,4520.0,117643300,,0,,,0,0,,,unknown,4520.0,,,,,,0.7579135086937194,,,,,
2022-06-06,4430.0,157277700,,0,,,0,0,,,unknown,4498.0,4460.0,,,,,-0.4867256637168138,,,,,
2022-06-07,4400.0,133318000,,0,,,0,0,,,unknown,4492.0,4457.0,,,,,-0.13339261894175225,-0.0672645739910327,,,,
2022-06-08,4470.0,150604000,,0,,,0,0,,,unknown,4460.0,4471.0,,,,,-0.7123775601068583,0.31411263181513327,,,,
2022-06-09,4490.0,161768800,,0,,,0,0,,,unknown,4462.0,4474.0,,,,,0.04484304932734773,0.06709908297919398,,,,
2022-06-10,4400.0,222410400,,0,,,0,0,,,unknown,4438.0,4479.0,,,,,-0.5378753922008039,0.11175681716584229,,,,
2022-06-13,4340.0,164017200,,0,,43.41946742362949,0,0,121.34274648957256,2.795915817732087,unknown,4420.0,4459.0,,,,,-0.40558810274898827,-0.4465282429113593,,,,
2022-06-14,4360.0,150381800,,0,,44.877902813165726,0,0,120.1352544713819,2.7553957447564654,unknown,4412.0,4452.0,,,,,-0.18099547511312153,-0.15698587127158659,,,,
2022-06-15,4450.0,160729900,,0,,50.99891265074695,0,0,117.035769970585,2.630017302709775,unknown,4408.0,4434.0,,,,,-0.09066183136899886,-0.40431266846361336,,,,
2022-06-16,4430.0,240023000,,0,,49.678712297113485,0,0,117.33135969351284,2.6485634242327953,unknown,4396.0,4429.0,,,,,-0.27223230490017736,-0.1127649977446965,,,,
2022-06-17,4370.0,185763100,,0,,45.84453298786577,0,0,113.71113530434444,2.602085476071955,unknown,4390.0,4414.0,,,,,-0.13648771610554888,-0.3386769022352687,,,,
2022-06-20,4400.0,95058800,0.535461552307765,0,,48.005337797459205,0,0,109.57782260324187,2.490405059164588,unknown,4402.0,4411.0,4435.5,,,,0.2733485193621821,-0.06796556411418075,,,,
2022-06-21,4380.0,103964600,0.5886342729257342,0,,46.66846473994483,0,0,104.07152733119959,2.376062267835607,unknown,4406.0,4409.0,4433.0,,,,0.09086778736937529,-0.045341192473358216,-0.05636343140570377,,,
2022-06-22,4320.0,106208500,0.6134078373617489,0,,42.816211606609855,0,0,103.70296637859971,2.4005316291342527,unknown,4380.0,4394.0,4432.5,,,,-0.5901044030866998,-0.34021320027216584,-0.011279043537104627,,,
2022-06-23,4310.0,127600700,0.7451696873758757,0,,42.19111698920719,0,0,99.82102408364197,2.3160330413838044,unknown,4356.0,4376.0,4425.0,,,,-0.5479452054794498,-0.4096495220755614,-0.16920473773265332,,,
