Stock,Market Cap and Buy Analysis,Buy Analysis,Volume Analysis Result,Volume Analysis 5 Days,Volume Analysis 20 Days,Volume Analysis 50 Days,MA Analysis,MA5,MA5 Symbol,MA10,MA10 Symbol,MA20,MA20 Symbol,MA50,MA50 Symbol,MA100,MA100 Symbol,MA200,MA200 Symbol,3D Change%,5D Change%,20D Change%,Yesterday Closing Price,Current Price,Volatility in 3 Day,Volatility in 5 Days,Volatility in 20 Days,Market Cap Value,Volume Average in 5 Days,Volume Average in 20 Days,Volume Average in 50 Days,Volume Average in 100 Days
ABBA.JK,110204919808.0,-5,0.0,0.0,0.0,0.0,"['=', '<', '<', '<', '<', '<']",28.0,=,28.2,<,28.55,<,33.22,<,30.9,<,33.745,<,0.0,0.0,-9.67741935483871,28.0,28.0,0.0,0.0,0.9205976319760985,110204919808.0,198120.0,664505.0,1344638.0,1237406.0
ABDA.JK,2520476286976.0,-1,0.0,0.0,0.0,0.0,"['=', '=', '=', '>', '<', '<']",4060.0,=,4060.0,=,4060.0,=,4058.8,>,4326.9,<,4708.45,<,0.0,0.0,0.0,4060.0,4060.0,0.0,0.0,0.0,2520476286976.0,0.0,0.0,6.0,28.0
ABMM.JK,9773752778752.0,-6,0.0,0.0,0.0,0.0,"['<', '<', '<', '<', '<', '<']",3564.0,<,3574.0,<,3611.0,<,3944.2,<,3963.2,<,3805.8,<,-0.2808988764044944,-0.2808988764044944,-9.438775510204081,3620.0,3550.0,30.912061651652348,30.066592756745816,135.827095971312,9773752778752.0,1024160.0,3526600.0,4031910.0,5611135.0
ACES.JK,13353912107008.0,-6,0.0,5.0,0.0,0.0,"['<', '<', '<', '<', '<', '<']",797.0,<,808.5,<,839.75,<,870.3,<,817.5,<,837.65,<,-1.2658227848101267,-6.024096385542169,-12.849162011173185,785.0,780.0,4.08248290463863,17.776388834631177,42.14483954175173,13353912107008.0,24921700.0,28973340.0,38367672.0,45101522.0
ACRO.JK,239372042240.0,-6,0.0,5.0,1.0,0.0,"['<', '<', '<', '<', '<', '<']",71.8,<,71.9,<,72.85,<,76.0,<,77.58,<,85.61,<,-5.47945205479452,-4.166666666666666,-9.210526315789473,71.0,69.0,1.632993161855452,1.7204650534085253,1.7965244223221681,239372042240.0,890940.0,1129885.0,1900282.0,3048503.0
ACST.JK,1292870352896.0,-6,0.0,0.0,0.0,0.0,"['<', '<', '<', '<', '<', '<']",102.8,<,102.4,<,102.85,<,109.26,<,111.93,<,116.465,<,0.0,-1.9230769230769231,-5.555555555555555,103.0,102.0,0.4714045207910317,0.7483314773547882,2.17428149051589,1292870352896.0,2996380.0,2589855.0,3800322.0,8146707.0
ADCP.JK,1111110057984.0,-3,0.0,0.0,0.0,0.0,"['=', '=', '=', '<', '<', '<']",50.0,=,50.0,=,50.0,=,50.16,<,50.21,<,50.155,<,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,1111110057984.0,124140.0,1608100.0,2724318.0,5947664.0
ADES.JK,5751495983104.0,-4,0.0,0.0,0.0,0.0,"['>', '<', '<', '<', '<', '<']",9740.0,>,9865.0,<,10307.5,<,10509.0,<,10230.25,<,10035.875,<,-0.7633587786259541,0.5154639175257731,-13.140311804008908,9650.0,9750.0,71.68604389202189,60.41522986797286,576.1455979177485,5751495983104.0,73260.0,77440.0,83026.0,56612.0
ADHI.JK,2169163350016.0,-6,0.0,0.0,0.0,0.0,"['<', '<', '<', '<', '<', '<']",263.6,<,262.2,<,270.4,<,280.36,<,276.9,<,267.5,<,-2.272727272727273,-2.272727272727273,-9.79020979020979,266.0,258.0,3.39934634239519,2.939387691339814,9.911609354691093,2169163350016.0,11754080.0,15405775.0,22917596.0,50060143.0
ADMF.JK,10149999673344.0,-6,0.0,0.0,0.0,0.0,"['<', '<', '<', '<', '<', '<']",10170.0,<,10295.0,<,10497.5,<,10908.5,<,11209.0,<,11830.875,<,0.49504950495049505,-2.6378896882494005,-7.727272727272727,10150.0,10150.0,23.570226039551585,135.46217184144066,262.19029348928996,10149999673344.0,149120.0,93120.0,70324.0,72834.0
ADMG.JK,466701582336.0,-6,0.0,0.0,1.0,0.0,"['<', '<', '<', '<', '<', '<']",120.4,<,121.2,<,124.0,<,126.7,<,122.48,<,123.985,<,-0.8264462809917356,1.694915254237288,-9.090909090909092,122.0,120.0,0.816496580927726,1.3564659966250536,3.714835124201342,466701582336.0,139780.0,269385.0,209914.0,257168.0
ADMR.JK,51920521658368.0,-6,0.0,1.0,0.0,0.0,"['<', '<', '<', '<', '<', '<']",1290.0,<,1300.5,<,1339.5,<,1396.9,<,1353.05,<,1367.55,<,-1.550387596899225,-3.0534351145038165,-9.929078014184398,1265.0,1270.0,10.801234497346433,20.248456731316587,47.35240226218729,51920521658368.0,17260600.0,16964450.0,34614888.0,32050935.0
ADRO.JK,112884424114176.0,-2,0.0,0.0,0.0,0.0,"['<', '<', '<', '<', '>', '>']",3712.0,<,3764.0,<,3799.0,<,3786.6,<,3534.7,>,3103.3,>,-2.1333333333333333,-0.5420054200542005,0.8241758241758242,3770.0,3670.0,43.20493798938573,40.19950248448356,120.5363015858708,112884424114176.0,158256940.0,138474565.0,97689442.0,83961891.0
AEGS.JK,35212800000.0,4,0.0,0.0,0.0,0.0,"['>', '>', '>', '>', '>', '<']",34.0,>,33.9,>,34.3,>,33.84,>,33.06,>,46.84,<,6.0606060606060606,2.941176470588235,16.666666666666664,34.0,35.0,0.816496580927726,0.6324555320336759,2.3685438564654024,35212800000.0,14289580.0,6882595.0,2972254.0,2156186.0
AGAR.JK,248000004096.0,-4,0.0,0.0,0.0,0.0,"['<', '<', '<', '<', '<', '>']",253.6,<,256.8,<,265.8,<,294.4,<,337.84,<,246.35,>,-6.7669172932330826,10.714285714285714,-10.79136690647482,250.0,248.0,8.055363982396381,18.821264569629744,14.489996549343964,248000004096.0,1540600.0,537300.0,393416.0,380430.0
AGII.JK,5013989490688.0,-6,0.0,0.0,0.0,0.0,"['<', '<', '<', '<', '<', '<']",1661.0,<,1676.5,<,1684.75,<,1718.5,<,1731.95,<,1699.7,<,-2.6785714285714284,-1.5060240963855422,-5.217391304347826,1665.0,1635.0,18.708286933869708,14.628738838327793,21.706853756359994,5013989490688.0,11420.0,26375.0,52394.0,52567.0
AGRO.JK,5888238682112.0,-2,0.0,2.0,0.0,0.0,"['>', '>', '<', '<', '<', '<']",234.4,>,234.6,>,244.3,<,261.16,<,256.58,<,257.82,<,0.0,4.385964912280701,-10.526315789473683,242.0,238.0,1.8856180831641267,6.248199740725323,12.88836684766538,5888238682112.0,14699960.0,17617590.0,36397276.0,34642384.0
AGRS.JK,3836734865408.0,6,0.0,1.0,0.0,0.0,"['>', '>', '>', '>', '>', '>']",78.8,>,76.5,>,77.65,>,76.96,>,75.09,>,70.725,>,3.8461538461538463,8.0,-2.4096385542168677,85.0,81.0,2.8674417556808756,3.8157568056677826,3.6369630187836663,3836734865408.0,26467760.0,13307565.0,26207988.0,16932559.0
AHAP.JK,460599984128.0,-6,0.0,2.0,0.0,0.0,"['<', '<', '<', '<', '<', '<']",95.0,<,96.2,<,97.15,<,104.84,<,108.27,<,106.865,<,0.0,-2.083333333333333,-7.8431372549019605,95.0,94.0,0.4714045207910317,0.8944271909999159,2.6509432283623124,460599984128.0,7640520.0,10732370.0,11191188.0,18543009.0
AIMS.JK,105600000000.0,4,0.0,0.0,0.0,0.0,"['>', '>', '>', '>', '>', '<']",446.0,>,434.4,>,446.6,>,473.56,>,467.06,>,507.74,<,8.108108108108109,15.384615384615385,-0.4149377593360996,448.0,480.0,16.110727964792762,20.396078054371138,22.262973745661203,105600000000.0,6582980.0,3057115.0,3650890.0,2364948.0
AISA.JK,456686403584.0,-6,0.0,1.0,1.0,0.0,"['<', '<', '<', '<', '<', '<']",121.0,<,122.3,<,125.0,<,128.88,<,125.93,<,124.645,<,-0.8264462809917356,-2.4390243902439024,-8.396946564885496,121.0,120.0,0.4714045207910317,1.0954451150103321,3.5355339059327378,456686403584.0,4328500.0,4495880.0,4761274.0,5393066.0
AKKU.JK,90292445184.0,0,0.0,0.0,0.0,0.0,"['>', '>', '<', '<', '>', '<']",13.6,>,13.8,>,14.8,<,14.44,<,13.76,>,20.88,<,0.0,7.6923076923076925,-17.647058823529413,14.0,14.0,0.0,0.4898979485566356,1.2884098726725126,90292445184.0,103960.0,144365.0,195756.0,199621.0
AKPI.JK,379593752576.0,-2,0.0,5.0,0.0,0.0,"['>', '>', '<', '<', '<', '<']",610.0,>,613.5,>,634.0,<,658.4,<,646.25,<,653.625,<,1.639344262295082,2.479338842975207,-6.0606060606060606,605.0,620.0,6.236095644623236,5.477225575051661,23.108440016582687,379593752576.0,19480.0,20685.0,81798.0,52348.0
AKRA.JK,24276757381120.0,-6,0.0,1.0,0.0,0.0,"['<', '<', '<', '<', '<', '<']",1287.0,<,1310.5,<,1330.75,<,1433.9,<,1459.4,<,1561.5,<,-5.747126436781609,-7.518796992481203,-11.827956989247312,1265.0,1230.0,30.641293851417057,35.298725189445584,39.4422045529912,24276757381120.0,15033160.0,15525100.0,25641852.0,28493105.0
AKSI.JK,276480000000.0,-2,0.0,0.0,0.0,0.0,"['<', '<', '<', '<', '>', '>']",400.0,<,400.8,<,431.7,<,459.44,<,303.77,>,216.985,>,-6.341463414634147,-4.477611940298507,-15.418502202643172,408.0,384.0,11.813363431112899,9.38083151964686,37.848513841365026,276480000000.0,2460400.0,2854945.0,5112134.0,3954352.0
ALDO.JK,1579915280384.0,6,0.0,0.0,0.0,0.0,"['>', '>', '>', '>', '>', '>']",573.0,>,561.5,>,545.0,>,492.64,>,457.88,>,427.9825,>,4.464285714285714,5.405405405405405,12.5,600.0,585.0,16.49915822768611,16.911534525287763,22.079402165819616,1579915280384.0,535080.0,391955.0,370152.0,273913.0
ALII.JK,6488578326528.0,6,0.0,1.0,1.0,0.0,"['>', '>', '>', '>', '>', '>']",408.8,>,408.8,>,403.5,>,408.4,>,375.78,>,375.335,>,0.0,0.0,0.9852216748768473,404.0,410.0,2.8284271247461903,2.4,6.924593850905626,6488578326528.0,1327260.0,1674845.0,2901980.0,2259674.0
ALKA.JK,190882037760.0,-2,0.0,3.0,0.0,0.0,"['<', '<', '<', '<', '>', '>']",380.0,<,379.4,<,384.1,<,396.64,<,364.98,>,375.67,>,-1.0526315789473684,-0.5291005291005291,-5.05050505050505,388.0,376.0,4.988876515698588,4.1952353926806065,8.086408349817612,190882037760.0,6100.0,25005.0,160868.0,153749.0
ALMI.JK,282384007168.0,1,0.0,0.0,0.0,0.0,"['=', '=', '=', '>', '>', '<']",74.0,=,74.0,=,74.0,=,71.64,>,68.65,>,84.53,<,0.0,0.0,0.0,74.0,74.0,0.0,0.0,0.0,282384007168.0,0.0,0.0,89490.0,116989.0
ALTO.JK,32878049280.0,-2,0.0,1.0,0.0,0.0,"['=', '>', '=', '<', '<', '<']",15.0,=,14.0,>,15.0,=,16.42,<,15.73,<,21.665,<,0.0,0.0,-11.76470588235294,15.0,15.0,0.0,0.0,1.6733200530681511,32878049280.0,78260.0,274715.0,203082.0,356467.0
AMAG.JK,1673715122176.0,-3,0.0,0.0,0.0,0.0,"['=', '<', '<', '<', '<', '>']",338.0,=,339.6,<,343.0,<,345.76,<,347.3,<,325.29,>,0.0,-0.5882352941176471,-2.8735632183908044,340.0,338.0,0.9428090415820634,2.1908902300206643,4.626013402488151,1673715122176.0,20700.0,39640.0,64896.0,112321.0
AMAN.JK,429958496256.0,0,0.0,0.0,0.0,0.0,"['>', '>', '<', '<', '<', '>']",109.6,>,110.0,>,111.1,<,111.68,<,111.82,<,109.6,>,0.0,2.7777777777777777,-0.8928571428571428,109.0,111.0,0.9428090415820634,1.2,1.4106735979665883,429958496256.0,1601480.0,2187565.0,2212276.0,2410415.0
AMAR.JK,3566712651776.0,-2,0.0,1.0,0.0,0.0,"['>', '>', '<', '<', '<', '<']",197.2,>,197.6,>,203.7,<,210.44,<,215.44,<,232.78,<,1.5384615384615385,1.5384615384615385,-6.60377358490566,202.0,198.0,2.8674417556808756,2.6381811916545836,7.0929542505221335,3566712651776.0,732940.0,381460.0,438282.0,958536.0
AMFG.JK,2018099986432.0,-2,0.0,0.0,0.0,0.0,"['>', '>', '<', '<', '<', '<']",4614.0,>,4631.0,>,4669.5,<,4697.8,<,4709.0,<,5029.375,<,1.3071895424836601,1.0869565217391304,-1.4830508474576272,4630.0,4650.0,24.94438257849294,22.44994432064365,42.83398183685472,2018099986432.0,14960.0,27865.0,18604.0,19617.0
AMIN.JK,159839993856.0,0,0.0,0.0,0.0,0.0,"['>', '>', '>', '<', '<', '<']",147.0,>,147.0,>,147.2,>,149.06,<,148.82,<,149.63,<,-0.6711409395973155,-0.6711409395973155,0.6802721088435374,144.0,148.0,2.160246899469287,2.0976176963403033,2.2045407685048604,159839993856.0,11380.0,31225.0,35828.0,195732.0
