Stock,Market Cap and Buy Analysis,Buy Analysis,Volume Analysis Result,Volume Analysis 5 Days,Volume Analysis 20 Days,Volume Analysis 50 Days,MA Analysis,MA5,MA5 Symbol,MA10,MA10 Symbol,MA20,MA20 Symbol,MA50,MA50 Symbol,MA100,MA100 Symbol,MA200,MA200 Symbol,3D Change%,5D Change%,20D Change%,Yesterday Closing Price,Current Price,Volatility in 3 Day,Volatility in 5 Days,Volatility in 20 Days,Market Cap Value,Volume Average in 5 Days,Volume Average in 20 Days,Volume Average in 50 Days,Volume Average in 100 Days
ABBA.JK,122.01B,2,0.0,0.0,0.0,0.0,"['<', '>', '>', '>', '>', '<']",31.2,<,30.1,>,28.9,>,26.7,>,26.85,>,41.505,<,3.3333333333333335,-8.823529411764707,10.714285714285714,30.0,31.0,0.4714045207910317,1.469693845669907,1.7291616465790582,122.01B,1406680.0,934110.0,787688.0,1017301.0
ABDA.JK,2.79T,-3,0.0,0.0,0.0,0.0,"['=', '=', '=', '<', '<', '<']",4500.0,=,4500.0,=,4500.0,=,4700.0,<,4850.0,<,5205.0,<,0.0,0.0,0.0,4500.0,4500.0,0.0,0.0,0.0,2.79T,40.0,15.0,24.0,13.0
ABMM.JK,12.42T,4,0.0,0.0,0.0,0.0,"['<', '>', '>', '>', '>', '>']",4658.0,<,4347.0,>,4088.5,>,3867.8,>,3797.9,>,3642.25,>,-5.845511482254697,-5.450733752620545,21.563342318059302,4500.0,4510.0,134.41230102437302,127.02755606560333,380.0036184038252,12.42T,30729920.0,12797225.0,6437966.0,4772619.0
ACES.JK,13.18T,0,0.0,1.0,0.0,0.0,"['>', '>', '>', '<', '<', '<']",746.0,>,736.0,>,733.75,>,773.2,<,823.2,<,812.075,<,5.47945205479452,7.6923076923076925,6.944444444444445,795.0,770.0,26.770630673681683,31.20897306865447,19.162137145944865,13.18T,90288620.0,62230100.0,48557800.0,46610445.0
ACRO.JK,274.06B,2,0.0,5.0,0.0,0.0,"['>', '>', '>', '<', '<', '>']",78.4,>,78.8,>,78.2,>,79.96,<,83.92,<,68.73,>,1.282051282051282,0.0,2.5974025974025974,78.0,79.0,0.4714045207910317,0.4898979485566356,1.2489995996796797,274.06B,1689400.0,1898740.0,2469484.0,6559521.0
ACST.JK,1.53T,0,0.0,0.0,0.0,0.0,"['<', '<', '>', '>', '>', '<']",123.6,<,123.9,<,120.55,>,111.24,>,111.72,>,127.935,<,-4.724409448818897,-2.4193548387096775,18.627450980392158,124.0,121.0,2.449489742783178,2.0591260281974,8.077592463104338,1.53T,9496040.0,22891635.0,13891320.0,10500717.0
ADCP.JK,1.13T,6,0.0,0.0,0.0,0.0,"['>', '>', '>', '>', '>', '>']",50.6,>,50.5,>,50.4,>,50.16,>,50.08,>,50.76,>,0.0,2.0,2.0,51.0,51.0,0.0,0.4898979485566356,0.7348469228349535,1.13T,16550660.0,20186815.0,8246122.0,4233290.0
ADES.JK,5.87T,2,0.0,4.0,0.0,0.0,"['<', '>', '>', '<', '>', '>']",9975.0,<,9927.5,>,9906.25,>,9991.5,<,9925.75,>,9797.375,>,-0.2506265664160401,-0.5,-0.7481296758104738,9975.0,9950.0,11.785113019775793,15.811388300841896,71.97004585242391,5.87T,14460.0,13115.0,29682.0,33228.0
ADHI.JK,2.59T,4,0.0,0.0,0.0,0.0,"['<', '>', '>', '>', '>', '>']",311.6,<,306.8,>,299.6,>,266.0,>,247.34,>,288.23,>,0.0,-3.1446540880503147,20.3125,314.0,308.0,2.8284271247461903,3.8781438859330635,13.047605144240073,2.59T,126886700.0,121348055.0,83424956.0,50570156.0
ADMF.JK,11.22T,-6,0.0,1.0,0.0,0.0,"['<', '<', '<', '<', '<', '<']",11235.0,<,11312.5,<,11373.75,<,11600.0,<,11936.0,<,11801.625,<,-0.2222222222222222,-1.1013215859030838,-0.2222222222222222,11075.0,11225.0,77.28015412913086,90.27735042633894,135.66387691644374,11.22T,67580.0,75010.0,69858.0,113630.0
ADMG.JK,497.82B,2,0.0,0.0,0.0,0.0,"['<', '<', '>', '>', '>', '>']",130.4,<,131.5,<,127.25,>,115.02,>,117.16,>,127.905,>,-1.5384615384615385,-5.185185185185185,11.304347826086957,128.0,128.0,0.9428090415820634,2.576819745345025,7.7192940091694915,497.82B,277280.0,412710.0,318974.0,294897.0
ADMR.JK,52.12T,-6,0.0,4.0,0.0,0.0,"['<', '<', '<', '<', '<', '<']",1288.0,<,1284.5,<,1290.5,<,1320.5,<,1337.2,<,1340.625,<,-0.7782101167315175,-2.2988505747126435,-2.2988505747126435,1290.0,1275.0,6.236095644623235,9.797958971132712,14.221462653327892,52.12T,26756180.0,30526675.0,29691512.0,25232555.0
ADRO.JK,106.73T,2,0.0,4.0,0.0,0.0,"['<', '<', '>', '>', '>', '>']",3558.0,<,3541.0,<,3411.5,>,3191.2,>,2984.0,>,2749.8,>,-2.528089887640449,-3.8781163434903045,7.098765432098765,3550.0,3470.0,40.27681991198191,49.558046773455466,142.94317052591214,106.73T,65024620.0,61812110.0,50749666.0,45015962.0
AEGS.JK,37.22B,-2,0.0,1.0,0.0,0.0,"['<', '<', '>', '>', '<', '<']",38.0,<,37.9,<,35.05,>,30.98,>,37.14,<,59.22,<,2.7777777777777777,-9.75609756097561,32.142857142857146,37.0,37.0,0.4714045207910317,1.7888543819998317,4.6419284785528525,37.22B,2546120.0,1953950.0,2002580.0,13666651.0
AGAR.JK,400.00B,2,0.0,0.0,0.0,0.0,"['>', '<', '<', '>', '>', '>']",397.2,>,408.8,<,444.1,<,375.96,>,275.38,>,191.335,>,-6.103286384976526,11.11111111111111,-22.330097087378643,398.0,400.0,12.754084313139327,21.188676221038445,46.13339354524009,400.00B,515820.0,418500.0,368728.0,222978.0
AGII.JK,5.50T,2,0.0,0.0,0.0,0.0,"['<', '<', '>', '>', '>', '>']",1829.0,<,1807.0,<,1746.5,>,1748.0,>,1753.25,>,1639.725,>,-1.643835616438356,-2.4456521739130435,8.459214501510575,1820.0,1795.0,13.123346456686352,23.108440016582687,77.57415806826394,5.50T,57120.0,77590.0,101506.0,178703.0
