Stock,Market Cap and Buy Analysis,Buy Analysis,Volume Analysis Result,Volume Analysis 5 Days,Volume Analysis 20 Days,Volume Analysis 50 Days,MA Analysis,MA5,MA5 Symbol,MA10,MA10 Symbol,MA20,MA20 Symbol,MA50,MA50 Symbol,MA100,MA100 Symbol,MA200,MA200 Symbol,3D Change%,5D Change%,20D Change%,Yesterday Closing Price,Current Price,Volatility in 3 Day,Volatility in 5 Days,Volatility in 20 Days,Market Cap Value,Volume Average in 5 Days,Volume Average in 20 Days,Volume Average in 50 Days,Volume Average in 100 Days
ABBA.JK,110204919808.0,-6,0.0,0.0,0.0,0.0,"['<', '<', '<', '<', '<', '<']",30.0,<,28.8,<,28.5,<,31.42,<,31.31,<,32.735,<,-6.666666666666667,-9.67741935483871,0.0,30.0,28.0,0.9428090415820634,1.0954451150103321,1.2449899597988732,110204919808.0,771160.0,394885.0,1259092.0,1232502.0
ABDA.JK,2359066624000.0,-6,0.0,0.0,0.0,0.0,"['<', '<', '<', '<', '<', '<']",4008.0,<,4034.0,<,4047.0,<,4054.8,<,4239.7,<,4642.35,<,-6.403940886699508,-6.403940886699508,-6.403940886699508,4060.0,3800.0,122.56517540566823,104.0,56.66568626602876,2359066624000.0,420.0,105.0,42.0,48.0
ABMM.JK,9801285238784.0,0,0.0,2.0,2.0,0.0,"['>', '>', '>', '<', '<', '<']",3540.0,>,3527.0,>,3556.5,>,3795.8,<,3946.3,<,3811.55,<,1.1363636363636365,0.28169014084507044,-2.997275204359673,3540.0,3560.0,16.32993161855452,14.142135623730951,46.18170633486814,9801285238784.0,916560.0,1126315.0,3214066.0,5595460.0
ACES.JK,13696320405504.0,0,0.0,0.0,0.0,0.0,"['>', '>', '>', '<', '<', '<']",775.0,>,771.5,>,792.5,>,851.1,<,814.05,<,834.975,<,3.896103896103896,3.896103896103896,-3.614457831325301,770.0,800.0,14.142135623730951,12.649110640673518,25.666125535421198,13696320405504.0,29677540.0,26003900.0,29940090.0,43824685.0
ACRO.JK,249779519488.0,-2,0.0,4.0,0.0,0.0,"['=', '>', '=', '<', '<', '<']",72.0,=,71.7,>,72.0,=,74.52,<,76.63,<,84.555,<,0.0,0.0,-1.36986301369863,72.0,72.0,0.0,0.0,1.0954451150103321,249779519488.0,547020.0,1199415.0,1601550.0,2925496.0
ACST.JK,1178793541632.0,-6,0.0,0.0,0.0,0.0,"['<', '<', '<', '<', '<', '<']",97.2,<,98.9,<,100.7,<,105.62,<,111.16,<,115.125,<,-4.123711340206185,-6.0606060606060606,-9.70873786407767,97.0,93.0,1.8856180831641267,2.4,2.794637722496424,1178793541632.0,4713380.0,2858435.0,3557810.0,7627480.0
ADCP.JK,1111110057984.0,-3,0.0,1.0,0.0,0.0,"['=', '=', '=', '<', '<', '<']",50.0,=,50.0,=,50.0,=,50.08,<,50.21,<,50.155,<,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,1111110057984.0,144720.0,168650.0,2228876.0,5942845.0
ADES.JK,5559779590144.0,-6,0.0,0.0,0.0,0.0,"['<', '<', '<', '<', '<', '<']",9475.0,<,9520.0,<,9708.75,<,10387.5,<,10184.0,<,10047.375,<,-0.5277044854881267,0.0,-6.451612903225806,9500.0,9425.0,31.18047822311618,47.43416490252569,244.08950714850485,5559779590144.0,47300.0,59240.0,78294.0,55977.0
ADHI.JK,2202793672704.0,0,0.0,1.0,0.0,0.0,"['>', '>', '>', '<', '<', '<']",256.8,>,255.2,>,259.5,>,275.68,<,276.92,<,266.14,<,4.8,1.550387596899225,-4.37956204379562,260.0,262.0,5.2493385826745405,4.308131845707603,6.837397165588672,2202793672704.0,6959100.0,10341445.0,19752736.0,43851092.0
ADMF.JK,10100000423936.0,-6,0.0,0.0,0.0,0.0,"['<', '<', '<', '<', '<', '<']",10160.0,<,10155.0,<,10243.75,<,10695.5,<,11052.5,<,11780.875,<,0.0,-1.2224938875305624,-4.038004750593824,10200.0,10100.0,47.14045207910317,51.478150704935004,155.89960711945363,10100000423936.0,76980.0,80795.0,74628.0,73402.0
ADMG.JK,455034044416.0,-4,0.0,1.0,0.0,0.0,"['>', '<', '<', '<', '<', '<']",116.6,>,117.8,<,119.7,<,124.76,<,123.73,<,123.14,<,0.0,0.0,-5.64516129032258,115.0,117.0,0.9428090415820634,0.8,2.9681644159311658,455034044416.0,181840.0,157695.0,210608.0,261228.0
ADMR.JK,53964632489984.0,0,0.0,1.0,0.0,0.0,"['>', '>', '>', '<', '<', '<']",1315.0,>,1283.5,>,1297.25,>,1379.8,<,1347.5,<,1361.8,<,0.38022813688212925,3.5294117647058822,-4.0,1345.0,1320.0,13.123346456686352,22.58317958127243,39.25796097608738,53964632489984.0,20799600.0,17308765.0,23674386.0,31348064.0
ADRO.JK,83971249537024.0,-2,0.0,1.0,0.0,0.0,"['>', '>', '<', '<', '<', '<']",2482.0,>,2559.0,>,3169.0,<,3552.4,<,3491.3,<,3105.2,<,18.695652173913043,15.677966101694915,-28.534031413612563,2680.0,2730.0,192.00694431886225,183.78248012256228,682.6411941862284,83971249537024.0,267507260.0,236766450.0,143153206.0,111932472.0
AEGS.JK,33200640000.0,-4,0.0,0.0,0.0,0.0,"['>', '<', '<', '<', '<', '<']",32.4,>,33.6,<,33.85,<,33.6,<,33.53,<,43.85,<,0.0,3.125,-10.81081081081081,33.0,33.0,0.0,0.8,1.6815171720800235,33200640000.0,980740.0,9464580.0,4385676.0,2866527.0
AGAR.JK,217999998976.0,-6,0.0,0.0,0.0,0.0,"['<', '<', '<', '<', '<', '<']",223.6,<,230.0,<,244.3,<,275.48,<,333.06,<,252.0,<,-1.8018018018018018,-2.6785714285714284,-18.045112781954884,226.0,218.0,3.265986323710904,3.4409301068170506,18.732591918898997,217999998976.0,88540.0,436175.0,258572.0,382071.0
AGII.JK,4829989568512.0,-4,0.0,0.0,1.0,0.0,"['>', '<', '<', '<', '<', '<']",1572.0,>,1592.0,<,1637.0,<,1690.0,<,1716.4,<,1701.85,<,0.9615384615384616,-1.2539184952978055,-6.804733727810651,1560.0,1575.0,7.0710678118654755,12.884098726725126,48.92340952959023,4829989568512.0,47660.0,27215.0,38430.0,54670.0
AGRO.JK,5987200663552.0,0,0.0,2.0,0.0,0.0,"['>', '>', '>', '<', '<', '<']",238.4,>,235.8,>,235.6,>,254.32,<,255.94,<,255.55,<,1.680672268907563,3.418803418803419,-1.6260162601626018,242.0,242.0,1.8856180831641267,3.1999999999999997,6.343500610861482,5987200663552.0,9744080.0,12863220.0,28251940.0,33787460.0
AGRS.JK,3694633680896.0,3,0.0,2.0,0.0,0.0,"['=', '<', '>', '>', '>', '>']",78.0,=,78.4,<,77.15,>,77.66,>,75.25,>,70.66,>,1.2987012987012987,-1.2658227848101267,4.0,78.0,78.0,0.4714045207910317,0.6324555320336759,2.7617928959282954,3694633680896.0,4998280.0,12049955.0,27315538.0,16448668.0
AHAP.JK,455699988480.0,-2,0.0,0.0,0.0,0.0,"['>', '>', '<', '<', '<', '<']",92.0,>,92.5,>,94.6,<,100.44,<,107.45,<,107.48,<,3.3333333333333335,0.0,-6.0606060606060606,92.0,93.0,1.247219128924647,1.0954451150103321,2.690724809414742,455699988480.0,14954580.0,10620565.0,10581486.0,17412909.0
AIMS.JK,94160003072.0,-6,0.0,0.0,1.0,0.0,"['<', '<', '<', '<', '<', '<']",463.6,<,460.4,<,444.7,<,471.08,<,480.08,<,495.285,<,-10.084033613445378,-10.084033613445378,0.4694835680751174,466.0,428.0,20.677416559027765,18.172506706560874,21.42218476253064,94160003072.0,1915860.0,3723300.0,4202308.0,2649081.0
AISA.JK,449074954240.0,-6,0.0,0.0,0.0,0.0,"['<', '<', '<', '<', '<', '<']",118.4,<,118.4,<,120.5,<,126.52,<,126.1,<,124.035,<,-0.8403361344537815,0.0,-4.0650406504065035,119.0,118.0,0.4714045207910317,0.4898979485566356,2.3979157616563596,449074954240.0,2721460.0,3005835.0,3913162.0,5407960.0
AKKU.JK,90292445184.0,2,0.0,0.0,0.0,0.0,"['>', '>', '>', '<', '>', '<']",13.2,>,13.6,>,13.7,>,14.38,<,13.6,>,19.24,<,7.6923076923076925,7.6923076923076925,0.0,14.0,14.0,0.4714045207910317,0.7483314773547883,0.5567764362830022,90292445184.0,324200.0,141445.0,196468.0,206789.0
AKPI.JK,364287557632.0,-6,0.0,2.0,0.0,0.0,"['<', '<', '<', '<', '<', '<']",602.0,<,605.5,<,610.25,<,646.7,<,645.8,<,648.7,<,-3.2520325203252036,-0.8333333333333334,-6.299212598425196,600.0,595.0,8.498365855987975,6.782329983125268,11.882234638316145,364287557632.0,20540.0,18360.0,84632.0,53142.0
AKRA.JK,26743907811328.0,0,0.0,2.0,0.0,0.0,"['>', '>', '>', '<', '<', '<']",1321.0,>,1274.0,>,1298.25,>,1390.8,<,1438.85,<,1545.675,<,2.6515151515151514,6.692913385826772,0.3703703703703704,1345.0,1355.0,14.719601443879744,29.563490998188964,48.45810045802456,26743907811328.0,14808680.0,12519400.0,22400122.0,26145285.0
AKSI.JK,244799995904.0,-2,0.0,0.0,0.0,0.0,"['<', '<', '<', '<', '>', '>']",343.6,<,363.6,<,384.3,<,467.44,<,326.4,>,226.775,>,3.6585365853658534,-9.090909090909092,-20.187793427230048,328.0,340.0,5.656854249492381,16.98940846527624,27.93044933401538,244799995904.0,4773840.0,3047690.0,5414874.0,4252069.0
ALDO.JK,1431376232448.0,0,0.0,0.0,0.0,0.0,"['<', '<', '<', '>', '>', '>']",555.0,<,569.0,<,563.25,<,518.62,>,468.39,>,438.7325,>,-6.1946902654867255,-4.504504504504505,-2.7522935779816518,540.0,530.0,14.719601443879744,19.235384061671343,19.954636052807377,1431376232448.0,239380.0,399070.0,367184.0,260124.0
