Stock,Market Cap and Buy Analysis,Buy Analysis,Volume Analysis Result,Volume Analysis 5 Days,Volume Analysis 20 Days,Volume Analysis 50 Days,MA Analysis,MA5,MA5 Symbol,MA10,MA10 Symbol,MA20,MA20 Symbol,MA50,MA50 Symbol,MA100,MA100 Symbol,MA200,MA200 Symbol,3D Change%,5D Change%,20D Change%,Yesterday Closing Price,Current Price,Volatility in 3 Day,Volatility in 5 Days,Volatility in 20 Days,Market Cap Value,Volume Average in 5 Days,Volume Average in 20 Days,Volume Average in 50 Days,Volume Average in 100 Days
ABBA.JK,149563817984.0,4,0.0,0.0,0.0,0.0,"['>', '>', '>', '>', '>', '<']",35.6,>,33.4,>,30.75,>,27.94,>,26.93,>,40.75,<,5.555555555555555,22.58064516129032,40.74074074074074,39.0,38.0,1.247219128924647,2.870540018881465,3.491060010942235,149563817984.0,4425280.0,1938505.0,1174016.0,1150400.0
ABDA.JK,2514268192768.0,-6,0.0,0.0,0.0,0.0,"['<', '<', '<', '<', '<', '<']",4320.0,<,4410.0,<,4455.0,<,4652.0,<,4826.0,<,5178.0,<,-10.0,-10.0,-10.0,4050.0,4050.0,212.13203435596427,220.45407685048602,135.0,2514268192768.0,280.0,75.0,48.0,24.0
ABMM.JK,11783566786560.0,2,0.0,5.0,0.0,0.0,"['<', '<', '>', '>', '>', '>']",4316.0,<,4476.0,<,4257.5,>,3960.6,>,3820.4,>,3666.15,>,0.4694835680751174,-5.099778270509978,10.309278350515463,4180.0,4280.0,43.20493798938573,111.1035552986492,351.52347005569914,11783566786560.0,6003660.0,14051920.0,7084108.0,4864462.0
ACES.JK,13182707957760.0,2,0.0,1.0,0.0,0.0,"['>', '>', '>', '>', '<', '<']",768.0,>,751.5,>,739.75,>,767.5,>,816.1,<,810.9,<,-1.282051282051282,0.0,4.761904761904762,770.0,770.0,4.714045207910316,9.797958971132712,23.42407949098534,13182707957760.0,77100660.0,65477515.0,51228750.0,46540691.0
ACRO.JK,274062852096.0,2,0.0,1.0,1.0,0.0,"['>', '>', '>', '<', '<', '>']",78.6,>,78.2,>,78.65,>,79.24,<,83.0,<,71.075,>,1.282051282051282,0.0,1.282051282051282,79.0,79.0,0.4714045207910317,0.4898979485566356,0.792148975887743,274062852096.0,1616160.0,2093325.0,2229204.0,5884725.0
ACST.JK,1521023975424.0,-2,0.0,0.0,0.0,0.0,"['<', '<', '<', '>', '>', '<']",120.8,<,122.4,<,123.5,<,114.12,>,111.03,>,126.385,<,-1.639344262295082,-0.8264462809917356,-5.511811023622047,120.0,120.0,0.9428090415820634,0.7483314773547882,2.6551836094703507,1521023975424.0,5014240.0,12004655.0,13328864.0,10728945.0
ADCP.JK,1133332267008.0,6,0.0,0.0,0.0,0.0,"['>', '>', '>', '>', '>', '>']",50.6,>,50.7,>,50.45,>,50.24,>,50.12,>,50.62,>,2.0,0.0,2.0,50.0,51.0,0.4714045207910317,0.4898979485566356,0.49749371855331,1133332267008.0,6795380.0,11723295.0,9091388.0,4643800.0
ADES.JK,5884222636032.0,6,0.0,0.0,0.0,0.0,"['>', '>', '>', '>', '>', '>']",9930.0,>,9940.0,>,9897.5,>,9955.0,>,9940.25,>,9788.625,>,0.7575757575757576,0.25125628140703515,0.7575757575757576,9900.0,9975.0,35.35533905932738,29.154759474226502,64.17748826496718,5884222636032.0,20640.0,14990.0,28898.0,33014.0
ADHI.JK,2370945941504.0,-2,0.0,1.0,1.0,0.0,"['<', '<', '<', '>', '>', '<']",296.8,<,303.8,<,300.2,<,271.76,>,247.88,>,285.92,<,-8.441558441558442,-8.441558441558442,-3.4246575342465753,282.0,282.0,12.256517540566822,12.172099243762352,9.836666101886351,2370945941504.0,66264740.0,79056165.0,82148332.0,52686251.0
ADMF.JK,11224999788544.0,-3,0.0,5.0,0.0,0.0,"['>', '=', '<', '<', '<', '<']",11185.0,>,11225.0,=,11335.0,<,11535.5,<,11828.0,<,11812.625,<,0.672645739910314,0.0,-3.023758099352052,11150.0,11225.0,35.35533905932738,33.91164991562634,147.35162028291376,11224999788544.0,45120.0,70780.0,70424.0,86442.0
