Stock,Market Cap and Buy Analysis,Buy Analysis,Volume Analysis Result,Volume Analysis 5 Days,Volume Analysis 20 Days,Volume Analysis 50 Days,MA Analysis,MA5,MA5 Symbol,MA10,MA10 Symbol,MA20,MA20 Symbol,MA50,MA50 Symbol,MA100,MA100 Symbol,MA200,MA200 Symbol,3D Change%,5D Change%,20D Change%,Yesterday Closing Price,Current Price,Volatility in 3 Day,Volatility in 5 Days,Volatility in 20 Days,Market Cap Value,Volume Average in 5 Days,Volume Average in 20 Days,Volume Average in 50 Days,Volume Average in 100 Days
ABBA.JK,149563817984.0,4,0.0,0.0,0.0,0.0,"['>', '>', '>', '>', '>', '<']",37.0,>,34.1,>,31.3,>,28.26,>,27.01,>,40.575,<,-2.564102564102564,11.76470588235294,35.714285714285715,38.0,38.0,0.4714045207910317,1.7888543819998317,3.716180835212409,149563817984.0,4510920.0,1896170.0,1134456.0,1092135.0
ABDA.JK,2514268192768.0,-6,0.0,0.0,0.0,0.0,"['<', '<', '<', '<', '<', '<']",4140.0,<,4320.0,<,4410.0,<,4614.0,<,4807.0,<,5158.5,<,0.0,-10.0,-10.0,4050.0,4050.0,0.0,180.0,180.0,2514268192768.0,240.0,75.0,48.0,24.0
ABMM.JK,11618377269248.0,0,0.0,5.0,0.0,0.0,"['<', '<', '<', '>', '>', '>']",4258.0,<,4426.0,<,4274.5,<,3971.0,>,3822.0,>,3670.05,>,0.9569377990430622,-2.9885057471264367,9.32642487046632,4280.0,4220.0,41.09609335312651,57.41080037762929,340.91751201720336,11618377269248.0,5952580.0,14017965.0,7147636.0,4863895.0
ACES.JK,13011503808512.0,-2,0.0,3.0,0.0,0.0,"['<', '>', '>', '<', '<', '<']",766.0,<,756.0,>,741.0,>,766.0,<,814.5,<,810.55,<,-1.2987012987012987,1.3333333333333335,5.555555555555555,770.0,760.0,4.714045207910316,10.198039027185569,23.80126047082381,13011503808512.0,61840560.0,64923540.0,51707210.0,46688240.0
ACRO.JK,291408609280.0,6,0.0,0.0,0.0,0.0,"['>', '>', '>', '>', '>', '>']",79.6,>,78.8,>,78.95,>,79.24,>,82.94,>,71.495,>,6.329113924050633,7.6923076923076925,6.329113924050633,79.0,84.0,2.357022603955158,2.244994432064365,1.3955285736952863,291408609280.0,20528680.0,6764430.0,4001858.0,6796445.0
ACST.JK,1508348788736.0,-2,0.0,1.0,0.0,0.0,"['<', '<', '<', '>', '>', '<']",120.4,<,122.1,<,123.1,<,114.48,>,110.94,>,126.095,<,-0.8333333333333334,-1.6528925619834711,-6.299212598425196,120.0,119.0,0.4714045207910317,1.019803902718557,2.6999999999999997,1508348788736.0,5268880.0,11354960.0,13312026.0,10758708.0
ADCP.JK,1111110057984.0,-6,0.0,0.0,0.0,0.0,"['<', '<', '<', '<', '<', '<']",50.4,<,50.7,<,50.45,<,50.24,<,50.12,<,50.595,<,0.0,-1.9607843137254901,0.0,51.0,50.0,0.4714045207910317,0.4898979485566356,0.49749371855331,1111110057984.0,6628240.0,11823175.0,9162884.0,4680412.0
ADES.JK,5898970333184.0,6,0.0,0.0,0.0,0.0,"['>', '>', '>', '>', '>', '>']",9940.0,>,9957.5,>,9902.5,>,9953.5,>,9947.5,>,9787.5,>,1.0101010101010102,0.7556675062972292,1.5228426395939088,9975.0,10000.0,42.49182927993987,40.620192023179804,67.96138609534093,5898970333184.0,30900.0,17840.0,29482.0,33472.0
ADHI.JK,2387761168384.0,-2,0.0,0.0,0.0,0.0,"['<', '<', '<', '>', '>', '<']",292.0,<,301.8,<,299.8,<,273.0,>,247.96,>,285.31,<,0.7092198581560284,-6.578947368421052,-4.054054054054054,282.0,284.0,0.9428090415820634,11.523888232710346,10.31309846748299,2387761168384.0,67650660.0,78109910.0,82163408.0,52951132.0
ADMF.JK,11325000384512.0,0,0.0,0.0,0.0,0.0,"['>', '>', '>', '<', '<', '<']",11205.0,>,11220.0,>,11322.5,>,11522.5,<,11813.25,<,11816.25,<,1.5695067264573992,1.342281879194631,-1.948051948051948,11225.0,11325.0,71.68604389202189,65.95452979136459,136.67936932836645,11325000384512.0,69360.0,78100.0,73468.0,84920.0
ADMG.JK,505593397248.0,2,0.0,1.0,0.0,0.0,"['>', '<', '<', '>', '>', '>']",129.8,>,130.1,<,130.5,<,117.72,>,117.14,>,127.525,>,0.0,1.5625,11.11111111111111,131.0,130.0,0.4714045207910317,0.9797958971132712,4.759201613716317,505593397248.0,116300.0,406115.0,302456.0,285726.0
ADMR.JK,53146986479616.0,0,0.0,1.0,0.0,0.0,"['>', '>', '>', '<', '<', '<']",1284.0,>,1282.0,>,1283.75,>,1309.9,<,1332.75,<,1344.325,<,2.3622047244094486,1.1673151750972763,0.7751937984496124,1290.0,1300.0,12.472191289246473,10.677078252031311,10.59186008215743,53146986479616.0,29399160.0,31349700.0,29006174.0,25124787.0
ADRO.JK,112884424114176.0,6,0.0,1.0,0.0,0.0,"['>', '>', '>', '>', '>', '>']",3604.0,>,3581.0,>,3503.5,>,3265.6,>,3027.9,>,2778.3,>,4.261363636363636,5.157593123209169,11.890243902439025,3850.0,3670.0,134.90737563232042,139.9428454762872,135.21371971808188,112884424114176.0,195719160.0,97928245.0,67889906.0,52308925.0
AEGS.JK,36218880000.0,-2,0.0,0.0,0.0,0.0,"['<', '<', '<', '>', '>', '<']",36.4,<,36.4,<,37.5,<,32.16,>,34.84,>,58.72,<,0.0,0.0,0.0,36.0,36.0,0.0,0.8,1.8841443681416772,36218880000.0,2707400.0,2460515.0,1332702.0,9896338.0
AGAR.JK,370000003072.0,-2,0.0,1.0,0.0,0.0,"['<', '<', '<', '<', '>', '>']",377.6,<,391.2,<,406.9,<,380.52,<,295.87,>,200.06,>,-3.6458333333333335,-1.5957446808510638,-19.213973799126638,370.0,370.0,6.599663291074444,7.310266752998826,29.471850976821933,370000003072.0,98300.0,207740.0,368638.0,225012.0
AGII.JK,5397321613312.0,0,0.0,2.0,0.0,0.0,"['<', '<', '<', '>', '>', '>']",1767.0,<,1792.0,<,1782.75,<,1746.4,>,1758.25,>,1647.675,>,0.8595988538681949,-1.675977653631285,2.923976608187134,1750.0,1760.0,6.236095644623235,19.390719429665317,60.05154036325796,5397321613312.0,62000.0,92360.0,50756.0,158876.0
