Stock,Market Cap and Buy Analysis,Buy Analysis,Volume Analysis Result,Volume Analysis 5 Days,Volume Analysis 20 Days,Volume Analysis 50 Days,MA Analysis,MA5,MA5 Symbol,MA10,MA10 Symbol,MA20,MA20 Symbol,MA50,MA50 Symbol,MA100,MA100 Symbol,MA200,MA200 Symbol,3D Change%,5D Change%,20D Change%,Yesterday Closing Price,Current Price,Volatility in 3 Day,Volatility in 5 Days,Volatility in 20 Days,Market Cap Value,Volume Average in 5 Days,Volume Average in 20 Days,Volume Average in 50 Days,Volume Average in 100 Days
ABBA.JK,133820260352.0,-2,0.0,0.0,1.0,0.0,"['<', '<', '<', '>', '>', '<']",34.6,<,36.1,<,37.3,<,31.92,>,28.29,>,38.11,<,0.0,-5.555555555555555,0.0,34.0,34.0,0.0,0.8,2.2825424421026654,133820260352.0,1019040.0,1873545.0,1233860.0,970186.0
ABDA.JK,2520476286976.0,-3,0.0,0.0,0.0,0.0,"['=', '>', '<', '<', '<', '<']",4060.0,=,4057.0,>,4098.5,<,4349.4,<,4674.7,<,5025.35,<,0.0,0.0,-9.777777777777779,4060.0,4060.0,0.0,0.0,133.91321816758793,2520476286976.0,0.0,80.0,54.0,28.0
ABMM.JK,11618377269248.0,2,0.0,1.0,0.0,0.0,"['>', '<', '<', '>', '>', '>']",4128.0,>,4248.0,<,4264.5,<,4127.0,>,3880.0,>,3733.25,>,4.197530864197531,0.7159904534606205,-2.9885057471264367,4070.0,4220.0,75.86537784494028,66.4529909033446,114.43229439279806,11618377269248.0,7220420.0,5935565.0,8325864.0,5310873.0
ACES.JK,15065952550912.0,4,0.0,0.0,0.0,0.0,"['>', '<', '>', '>', '>', '>']",877.0,>,887.5,<,844.75,>,782.9,>,807.3,>,814.975,>,0.5714285714285714,-1.675977653631285,17.333333333333336,860.0,880.0,8.498365855987975,11.224972160321824,56.35767472137224,15065952550912.0,31504780.0,57616715.0,58859522.0,47785153.0
ACRO.JK,267124539392.0,-4,0.0,5.0,0.0,0.0,"['>', '<', '<', '<', '<', '<']",76.8,>,78.1,<,79.25,<,78.48,<,82.1,<,77.43,<,0.0,0.0,-1.282051282051282,77.0,77.0,0.0,0.4,1.9968725547715858,267124539392.0,1610920.0,7495160.0,4187254.0,4889860.0
ACST.JK,1406947164160.0,-4,0.0,0.0,0.0,0.0,"['<', '<', '<', '<', '>', '<']",115.0,<,116.0,<,118.35,<,117.2,<,110.58,>,122.43,<,-5.128205128205128,-5.932203389830509,-8.264462809917356,112.0,111.0,2.6246692913372702,2.898275349237888,3.2752862470324633,1406947164160.0,4138680.0,4585170.0,11595476.0,11146217.0
ADCP.JK,1111110057984.0,-5,0.0,2.0,0.0,0.0,"['=', '<', '<', '<', '<', '<']",50.0,=,50.1,<,50.35,<,50.34,<,50.17,<,50.335,<,0.0,0.0,-1.9607843137254901,50.0,50.0,0.0,0.0,0.47696960070847283,1111110057984.0,326240.0,3172835.0,9663856.0,4917387.0
ADES.JK,6503614906368.0,6,0.0,0.0,0.0,0.0,"['>', '>', '>', '>', '>', '>']",10260.0,>,10295.0,>,10121.25,>,9992.5,>,10024.25,>,9854.125,>,11.363636363636363,10.25,11.083123425692696,10450.0,11025.0,459.3171259840223,431.45104009609247,295.3043980370086,6503614906368.0,152380.0,85195.0,44828.0,43119.0
ADHI.JK,2320500260864.0,-4,0.0,3.0,0.0,0.0,"['<', '<', '<', '<', '>', '<']",278.8,<,278.4,<,283.4,<,281.4,<,252.2,>,276.23,<,-2.127659574468085,-2.127659574468085,-9.210526315789473,278.0,276.0,2.494438257849294,2.7129319932501073,8.651011501552867,2320500260864.0,15642240.0,32938420.0,67186826.0,53695807.0
ADMF.JK,11150000390144.0,-6,0.0,0.0,0.0,0.0,"['<', '<', '<', '<', '<', '<']",11260.0,<,11320.0,<,11285.0,<,11329.0,<,11690.5,<,11866.375,<,-0.6681514476614699,-2.1929824561403506,-0.22371364653243847,11275.0,11150.0,51.370116691408136,81.54753215150045,86.02325267042627,11150000390144.0,40180.0,52310.0,73996.0,69077.0
ADMG.JK,490036658176.0,-2,0.0,0.0,0.0,0.0,"['<', '<', '<', '>', '>', '<']",126.8,<,127.5,<,128.35,<,124.88,>,117.95,>,126.165,<,-1.5625,-0.7874015748031495,-1.5625,128.0,126.0,0.9428090415820634,1.16619037896906,1.49248115565993,490036658176.0,64560.0,123460.0,308022.0,256308.0
ADMR.JK,62345506193408.0,6,0.0,1.0,0.0,0.0,"['>', '>', '>', '>', '>', '>']",1522.0,>,1466.5,>,1389.25,>,1333.6,>,1343.2,>,1361.025,>,-0.32679738562091504,1.3289036544850499,18.67704280155642,1505.0,1525.0,10.801234497346433,15.362291495737216,95.94627402875007,62345506193408.0,51263120.0,58042585.0,40861236.0,33061227.0
ADRO.JK,119651338027008.0,6,0.0,2.0,0.0,0.0,"['>', '>', '>', '>', '>', '>']",3864.0,>,3825.0,>,3736.5,>,3500.6,>,3182.9,>,2871.75,>,1.5665796344647518,-0.7653061224489796,11.461318051575931,3810.0,3890.0,33.9934634239519,39.7994974842648,128.8128487380044,119651338027008.0,66294660.0,117766020.0,83440774.0,60627854.0
AEGS.JK,34206720000.0,-1,0.0,0.0,0.0,0.0,"['=', '<', '<', '>', '>', '<']",34.0,=,34.3,<,35.0,<,33.96,>,32.66,>,56.805,<,0.0,0.0,-5.555555555555555,34.0,34.0,0.0,0.0,1.0,34206720000.0,182580.0,951160.0,1236878.0,5807272.0
AGAR.JK,307999997952.0,-4,0.0,0.0,0.0,0.0,"['<', '<', '<', '<', '<', '>']",313.6,<,317.6,<,341.0,<,398.88,<,330.92,<,215.595,>,-1.282051282051282,-3.75,-18.085106382978726,316.0,308.0,3.265986323710904,4.079215610874228,26.461292485439937,307999997952.0,73960.0,423255.0,509824.0,292892.0
