Stock,Market Cap and Buy Analysis,Buy Analysis,Volume Analysis Result,Volume Analysis 5 Days,Volume Analysis 20 Days,Volume Analysis 50 Days,MA Analysis,MA5,MA5 Symbol,MA10,MA10 Symbol,MA20,MA20 Symbol,MA50,MA50 Symbol,MA100,MA100 Symbol,MA200,MA200 Symbol,3D Change%,5D Change%,20D Change%,Yesterday Closing Price,Current Price,Volatility in 3 Day,Volatility in 5 Days,Volatility in 20 Days,Market Cap Value,Volume Average in 5 Days,Volume Average in 20 Days,Volume Average in 50 Days,Volume Average in 100 Days
ABBA.JK,106269024256.0,-1,0.0,0.0,0.0,0.0,"['=', '>', '>', '<', '<', '<']",27.0,=,26.9,>,26.95,>,27.96,<,31.24,<,30.125,<,0.0,0.0,-10.0,27.0,27.0,0.0,0.0,1.2835497652993437,106269024256.0,100860.0,893715.0,754830.0,1293128.0
ABDA.JK,2359066624000.0,-3,0.0,0.0,0.0,0.0,"['=', '=', '=', '<', '<', '<']",3800.0,=,3800.0,=,3800.0,=,3950.8,<,4074.7,<,4499.85,<,0.0,0.0,0.0,3800.0,3800.0,0.0,0.0,0.0,2359066624000.0,0.0,10.0,46.0,42.0
ABMM.JK,9525967978496.0,-4,0.0,0.0,0.0,0.0,"['>', '<', '<', '<', '<', '<']",3454.0,>,3507.0,<,3483.0,<,3543.2,<,3880.0,<,3806.8,<,-0.5747126436781609,0.8746355685131195,-1.7045454545454544,3460.0,3460.0,9.428090415820632,17.435595774162696,53.67494760127857,9525967978496.0,846220.0,916500.0,1980630.0,5104464.0
ACES.JK,12583493959680.0,-4,0.0,0.0,0.0,0.0,"['>', '<', '<', '<', '<', '<']",729.0,>,743.5,<,775.75,<,801.3,<,816.7,<,830.875,<,-0.6756756756756757,4.25531914893617,-10.909090909090908,745.0,735.0,4.08248290463863,14.628738838327793,36.819661866997095,12583493959680.0,34911840.0,26092730.0,27537124.0,39736963.0
ACRO.JK,260186996736.0,-4,0.0,0.0,0.0,0.0,"['>', '<', '<', '<', '<', '<']",73.6,>,85.2,<,85.05,<,77.58,<,78.03,<,83.035,<,2.73972602739726,-1.3157894736842104,7.142857142857142,70.0,75.0,2.0548046676563256,2.0591260281974,15.91060966776572,260186996736.0,14306800.0,44386100.0,18477064.0,11381973.0
ACST.JK,1140767981568.0,-1,0.0,0.0,0.0,0.0,"['=', '>', '>', '<', '<', '<']",90.0,=,89.8,>,89.6,>,96.6,<,106.92,<,110.05,<,1.1235955056179776,0.0,-5.263157894736842,88.0,90.0,0.816496580927726,1.6733200530681511,2.4166091947189146,1140767981568.0,3338700.0,1617505.0,2411214.0,4738910.0
ADCP.JK,1111110057984.0,-2,0.0,0.0,0.0,0.0,"['=', '=', '=', '=', '<', '<']",50.0,=,50.0,=,50.0,=,50.0,=,50.18,<,50.12,<,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,1111110057984.0,1232960.0,353085.0,807506.0,3830726.0
ADES.JK,5368062672896.0,-2,0.0,0.0,0.0,0.0,"['>', '>', '<', '<', '<', '<']",9085.0,>,9092.5,>,9125.0,<,9671.0,<,10009.5,<,9944.875,<,0.0,0.27548209366391185,-3.7037037037037033,9075.0,9100.0,11.785113019775793,12.24744871391589,110.67971810589327,5368062672896.0,50920.0,64635.0,66218.0,63794.0
ADHI.JK,2001011081216.0,0,0.0,0.0,0.0,0.0,"['>', '>', '>', '<', '<', '<']",229.6,>,231.2,>,232.2,>,252.16,<,272.04,<,259.46,<,4.385964912280701,4.385964912280701,-7.751937984496124,224.0,238.0,5.887840577551898,4.6303347611160905,13.264991519032344,2001011081216.0,15734620.0,9933805.0,11668848.0,28959789.0
ADMF.JK,9525000142848.0,-6,0.0,1.0,1.0,0.0,"['<', '<', '<', '<', '<', '<']",9660.0,<,9742.5,<,9861.25,<,10175.0,<,10704.5,<,11479.125,<,-1.804123711340206,-2.307692307692308,-5.693069306930694,9575.0,9525.0,73.59800721939872,93.00537618869137,149.8905850945949,9525000142848.0,70900.0,84535.0,84446.0,74749.0
